court	year	agenda	value_1	value_2	value_3	value_4	value_5
Najvyšší súd	2011	Cdo	76	76	0	76	30
Najvyšší súd	2011	CdoV	2	2	0	2	0
Najvyšší súd	2011	Co	1	1	0	1	0
Najvyšší súd	2011	MCdo	7	6	0	6	7
Najvyšší súd	2011	MObdo	2	2	0	2	2
Najvyšší súd	2011	MObdV	4	5	0	5	2
Najvyšší súd	2011	Nc	7	7	0	7	0
Najvyšší súd	2011	Ndc	11	11	0	11	1
Najvyšší súd	2011	Ndob	8	9	0	9	1
Najvyšší súd	2011	Nds	2	2	0	2	0
Najvyšší súd	2011	Ndt	6	6	0	6	0
Najvyšší súd	2011	Ndz	3	3	0	3	0
Najvyšší súd	2011	Ntv	0	0	0	0	0
Najvyšší súd	2011	Obdo	19	19	0	19	9
Najvyšší súd	2011	ObdoV	15	15	0	15	9
Najvyšší súd	2011	Obo	33	41	2	41	16
Najvyšší súd	2011	Rkc	0	0	0	0	0
Najvyšší súd	2011	Rko	0	0	0	0	0
Najvyšší súd	2011	Rks	1	1	0	1	0
Najvyšší súd	2011	Sdo	17	16	0	16	5
Najvyšší súd	2011	So	49	42	0	42	30
Najvyšší súd	2011	Sr	0	0	0	0	0
Najvyšší súd	2011	Svzn	0	0	0	0	0
Najvyšší súd	2011	Szd	0	0	0	0	0
Najvyšší súd	2011	Sž	11	8	4	8	4
Najvyšší súd	2011	Sža	18	21	0	21	1
Najvyšší súd	2011	Sžd	18	10	0	10	15
Najvyšší súd	2011	Sžf	29	28	0	28	10
Najvyšší súd	2011	Sžh	0	2	0	2	0
Najvyšší súd	2011	Sžhpu	1	1	0	1	1
Najvyšší súd	2011	Sžhuv	1	1	0	1	1
Najvyšší súd	2011	Sži	2	2	0	2	1
Najvyšší súd	2011	Sžnč	3	3	0	3	1
Najvyšší súd	2011	Sžo	14	25	0	25	6
Najvyšší súd	2011	Sžp	9	9	0	9	4
Najvyšší súd	2011	Sžr	58	37	0	37	27
Najvyšší súd	2011	Sžso	24	20	0	20	14
Najvyšší súd	2011	Sžz	2	2	0	2	1
