ID,Meno a priezvisko,Súd 2021,Potvrdené odvolania,Vybavenosť,Dispozičný čas,Restančné z nevybavených,Produktivita,,,,,,,
2,Ľubica Adamčíková,Okresný súd Košice okolie,3,7,4,5,10,,,,,,,
3,Stella Al Khufash,Okresný súd Senica,0,4,4,6,4,,,,,,,
4,Ivan Alman,Mestský súd Bratislava IV,5,4,8,6,5,,,,,,,
5,Magdaléna Andreánska,Okresný súd Liptovský Mikuláš,4,3,7,5,1,,,,,,,
7,Marek Anovčin,Okresný súd Bánovce nad Bebravou,8,N/A,N/A,N/A,N/A,,,,,,,
8,Ivan Antal,Okresný súd Rimavská Sobota,6,4,8,5,9,,,,,,,
9,Michal Antala,Okresný súd Trenčín,7,N/A,N/A,N/A,N/A,,,,,,,
11,Zuzana Antalová,Okresný súd Banská Bystrica,3,10,0,6,1,,,,,,,
12,Dagmar Aradská,Okresný súd Komárno,5,5,5,7,5,,,,,,,
14,"Marianna Arnoldová, CSc.",Okresný súd Trnava,N/A,N/A,N/A,N/A,N/A,,,,,,,
15,Katarína Arnouldová,Okresný súd Piešťany,3,N/A,N/A,N/A,N/A,,,,,,,
16,Renáta Audová,Okresný súd Senica,2,2,6,8,4,,,,,,,
17,Ján Auxt,Okresný súd Žiar nad Hronom,N/A,N/A,N/A,N/A,N/A,,,,,,,
19,Daniela Babinová,Okresný súd Prešov,4,N/A,N/A,N/A,N/A,,,,,,,
26,Zuzana Bajlová,Okresný súd Liptovský Mikuláš,6,6,8,8,3,,,,,,,
27,Ľubica Bajzová,Okresný súd Považská Bystrica,9,N/A,N/A,N/A,N/A,,,,,,,
28,Ľuboš Baka,Okresný súd Levice,3,4,8,9,4,,,,,,,
30,Ľubica Balalová,Okresný súd Trenčín,7,7,7,5,4,,,,,,,
31,Angela Balázsová,Mestský súd Bratislava I,N/A,N/A,N/A,N/A,N/A,,,,,,,
32,Radoslav Baláž,Okresný súd Spišská Nová Ves,5,3,5,7,9,,,,,,,
35,Magdaléna Balážová,Okresný súd Lučenec,6,5,7,8,8,,,,,,,
36,Monika Balážová,Okresný súd Spišská Nová Ves,4,N/A,N/A,N/A,N/A,,,,,,,
37,Oľga Balážová,Okresný súd Prievidza,4,N/A,N/A,N/A,N/A,,,,,,,
38,Martina Balegová,Okresný súd Levice,8,N/A,N/A,N/A,N/A,,,,,,,
40,Martin Baločko,Mestský Súd Košice,7,5,9,3,5,,,,,,,
42,Miroslav Baňacký,Okresný súd Košice okolie,8,N/A,N/A,N/A,N/A,,,,,,,
43,Iveta Banghová,Okresný súd Komárno,7,1,6,8,5,,,,,,,
44,Peter Banský,Okresný súd Zvolen,3,2,4,7,5,,,,,,,
45,Martin Baran,Okresný súd Prešov,8,N/A,N/A,N/A,N/A,,,,,,,
46,Daniela Baranová,Okresný súd Prešov,5,3,2,5,7,,,,,,,
50,Gabriela Bargelová,Okresný súd Žilina,9,9,6,10,10,,,,,,,
52,Marta Barková,Mestský súd Bratislava I,4,N/A,N/A,N/A,N/A,,,,,,,
53,Katarína Bartalská,Mestský súd Bratislava I,6,N/A,N/A,N/A,N/A,,,,,,,
54,Zuzana Bartalská,Mestský súd Bratislava V,4,4,6,1,5,,,,,,,
55,Ivan Bartek,Mestský súd Bratislava III,5,0,1,4,7,,,,,,,
