ID,Sudca,Súd 2021,Dominantná agenda,Celkové hodnotenie,Poradie (abecedne v rámci skupín),Celkové skóre,Kvalita (body),Efekivita (body),Produktivita (body),Vybavenosť (%),Reštančné z nevybavených (%),Odhadovaná priemerná dĺžka konania (dispozičný čas - dni),Potvrdené rozhodnutia (%),Rozhodnuté veci,Nevybavené veci,Reštančné veci, Napadnuté veci,Počet odvolaní,Počet potvrdených rozhodnutí,Počet zmenených a zrušených rozhodnutí,Vážené rozhodnuté,Kvalita_rec,Efektivita_rec,Produktivita_rec
2,Ľubica Adamčíková,Okresný súd Košice okolie,Civil,priemerné,315.-511.,03/02/2001,3,5.5,8.3,118.61%,42.07%,264,60.68%,478,309,130,403,295,179,116,470.424,3,2,1
3,Stella Al Khufash,Okresný súd Senica,Civil,podpriemerné,512.-651.,03/02/2002,0,4,4.7,104.72%,36.24%,279,49.79%,222,149,54,212,239,119,120,214.764,3,2,2
4,Ivan Alman,Mestský súd Bratislava IV,Trest,priemerné,315.-511.,02/02/2002,5,6,5.3,101.25%,36.67%,95,68.54%,243,60,22,240,553,379,174,240.503,2,2,2
5,Magdaléna Andreánska,Okresný súd Liptovský Mikuláš,Civil,podpriemerné,512.-651.,02/02/2003,4,5,2.3,97.48%,39.13%,151,63.95%,116,46,18,119,147,94,53,98.345,2,2,3
8,Ivan Antal,Okresný súd Rimavská Sobota,Trest,nadpriemerné,110.-314.,02/02/2001,6,6,7.7,104.56%,43.66%,80,74.29%,344,71,31,329,280,208,72,369.843,2,2,1
11,Zuzana Antalová,Okresný súd Banská Bystrica,Obchod,slabé,652.-699.,03/02/2003,3,5,2.7,134.38%,36.09%,801,61.36%,86,169,61,64,88,54,34,114.204,3,2,3
12,Dagmar Aradská,Okresný súd Komárno,Civil,priemerné,315.-511.,02/02/2002,5,5,5.7,110.26%,28.57%,225,69.08%,258,147,42,234,663,458,205,258,2,2,2
16,Renáta Audová,Okresný súd Senica,Civil,podpriemerné,512.-651.,03/02/2002,2,4,5.3,91.37%,19.72%,196,55.80%,254,142,28,278,319,178,141,217.667,3,2,2
26,Zuzana Bajlová,Okresný súd Liptovský Mikuláš,Civil,nadpriemerné,110.-314.,02/01/2002,6,7,4.7,113.25%,21.57%,102,73.10%,188,51,11,166,539,394,145,184.555,2,1,2
28,Ľuboš Baka,Okresný súd Levice,Trest,podpriemerné,512.-651.,03/02/2002,3,6,5.7,102.94%,13.89%,66,62.12%,210,36,5,204,132,82,50,197.168,3,2,2
30,Ľubica Balalová,Okresný súd Trenčín,Rodina,výborné,17.-109.,01/01/2002,7,7,4.3,120.11%,38.95%,144,75.79%,221,95,37,184,190,144,46,197.348,1,1,2
32,Radoslav Baláž,Okresný súd Spišská Nová Ves,Civil,nadpriemerné,110.-314.,02/02/2001,5,4,8.3,98.38%,24.16%,203,68.61%,606,327,79,616,274,188,86,385.029,2,2,1
35,Magdaléna Balážová,Okresný súd Lučenec,Civil,nadpriemerné,110.-314.,02/02/2001,6,6,8,111.15%,20.45%,148,74.02%,349,132,27,314,281,208,73,337.768,2,2,1
40,Martin Baločko,Mestský Súd Košice,Trest,výborné,17.-109.,01/01/2002,7,7,4.3,107.19%,57.14%,58,75.39%,328,49,28,306,256,193,63,243.873,1,1,2
43,Iveta Banghová,Okresný súd Komárno,Rodina,nadpriemerné,110.-314.,01/02/2002,7,3.5,6,87.43%,18.44%,176,79.20%,306,141,26,350,327,259,68,256.789,1,2,2
44,Peter Banský,Okresný súd Zvolen,Civil,slabé,652.-699.,03/03/2002,3,3,5.7,91.67%,26.67%,247,62.84%,253,180,48,276,261,164,97,243.82,3,3,2
46,Daniela Baranová,Okresný súd Prešov,Civil,priemerné,315.-511.,02/03/2001,5,2.5,6.3,98.34%,43.52%,354,70.98%,297,324,141,302,603,428,175,297,2,3,1
50,Gabriela Bargelová,Okresný súd Žilina,Obchod,výborné,1.-16.,01/01/2001,9,7.5,10,132.67%,3.97%,189,85.71%,467,252,10,352,21,18,3,433.89,1,1,1
54,Zuzana Bartalská,Okresný súd Bratislava V,Trest,priemerné,315.-511.,02/02/2002,4,5,3.7,100.37%,66.06%,163,64.46%,274,109,72,273,287,185,102,257.962,2,2,2
55,Ivan Bartek,Mestský súd Bratislava III,Civil,podpriemerné,512.-651.,02/03/2002,5,0.5,6,68.51%,44.25%,425,68.44%,446,565,250,651,339,232,107,309.39,2,3,2
57,Lucia Bašistová,Okresný súd Kežmarok,Trest,slabé,652.-699.,03/02/2003,3,4.5,3,102.65%,69.03%,215,59.52%,194,113,78,189,84,50,34,207.158,3,2,3
58,Michala Bašticová,Okresný súd Bratislava V,Civil,podpriemerné,512.-651.,03/03/2001,0,1,9,52.96%,24.28%,357,48.39%,448,729,177,846,31,15,16,436.759,3,3,1
62,Peter Bebej,Okresný súd Dolný Kubín,Civil,nadpriemerné,110.-314.,01/02/2002,9,6,3.7,112.77%,29.73%,178,85.11%,159,74,22,141,235,200,35,151.286,1,2,2
63,Iveta Bebejová,Okresný súd Dolný Kubín,Rodina,priemerné,315.-511.,02/02/2002,6,4,3.7,100.00%,15.28%,219,74.48%,126,72,11,126,192,143,49,118.332,2,2,2
67,Anna Bejdová,Okresný súd Svidník,Civil,podpriemerné,512.-651.,01/03/2003,7,0,1.7,58.60%,51.36%,435,77.56%,235,405,208,401,410,318,92,94.151,1,3,3
71,Monika Bellová,Okresný súd Senica,Civil,podpriemerné,512.-651.,03/02/2002,0,5,4.7,110.38%,33.85%,211,45.91%,234,130,44,212,220,101,119,225.792,3,2,2
74,Roman Benedikovič,Okresný súd Bratislava V,Trest,podpriemerné,512.-651.,03/02/2002,1,5,4.7,96.64%,61.96%,127,54.47%,288,92,57,298,347,189,158,286.976,3,2,2
78,Mária Benková,Okresný súd Košice okolie,Rodina,výborné,17.-109.,01/01/2002,8,7.5,3.3,195.77%,88.44%,213,80.30%,278,173,153,142,66,53,13,249.38,1,1,2
85,Jana Berešová,Okresný súd Trebišov,Rodina,nadpriemerné,110.-314.,02/02/2001,5,6,6.7,100.99%,17.02%,106,71.05%,305,94,16,302,76,54,22,272.168,2,2,1
86,Daniela Bergerová,Okresný súd Bratislava V,Civil,nadpriemerné,110.-314.,02/02/2001,6,4.5,9,101.95%,28.69%,202,72.97%,418,237,68,410,296,216,80,412.708,2,2,1
89,Viera Betáková,Okresný súd Nové Zámky,Civil,priemerné,315.-511.,02/02/2002,4,5,6,104.15%,34.33%,169,64.51%,301,134,46,289,710,458,252,290.061,2,2,2
91,Zuzana Bezáková,Okresný súd Nitra,Rodina,nadpriemerné,110.-314.,02/02/2001,5,5.5,6.3,101.24%,25.00%,116,70.11%,326,108,27,322,184,129,55,290.792,2,2,1
93,Pavol Bielik,Okresný súd Prievidza,Trest,podpriemerné,512.-651.,03/02/2002,3,5.5,3.7,108.84%,67.27%,182,60.91%,234,110,74,215,481,293,188,255.828,3,2,2
94,Alena Bieliková,Okresný súd Trenčín,Obchod,nadpriemerné,110.-314.,02/01/2002,5,6.5,4,136.54%,50.30%,321,67.84%,213,167,84,156,681,462,219,209.685,2,1,2
95,Eva Bieliková,Mestský súd Bratislava II,Civil,priemerné,315.-511.,03/02/2001,3,4.5,7.3,119.81%,50.56%,357,61.62%,387,360,182,323,185,114,71,386.892,3,2,1
96,Jarmila Bíliková,Okresný súd Skalica,Civil,nadpriemerné,110.-314.,02/01/2002,5,7,5.3,118.23%,20.78%,130,70.08%,214,77,16,181,244,171,73,200.852,2,1,2
97,Eva Bíróová,Okresný súd Dunajská Streda,Civil,priemerné,315.-511.,02/02/2002,4,5.5,4.3,109.78%,42.28%,198,63.65%,202,123,52,184,597,380,217,196.212,2,2,2
100,Zuzana Biščáková,Okresný súd Prešov,Civil,nadpriemerné,110.-314.,03/01/2001,2,8.5,7.3,276.56%,61.25%,125,58.12%,1062,369,226,384,585,340,245,448.154,3,1,1
102,Beata Bizoňová,Mestský súd Bratislava I,Civil,nadpriemerné,110.-314.,01/02/2002,9,4.5,4,133.51%,62.58%,509,83.68%,251,326,204,188,386,323,63,251,1,2,2
106,Alena Blašková,Okresný súd Partizánske,Civil,nadpriemerné,110.-314.,01/02/2002,7,4,5.3,108.71%,30.69%,296,77.05%,262,202,62,241,414,319,95,248.377,1,2,2
109,Ivica Blecharžová,Okresný súd Bratislava V,Obchod,slabé,652.-699.,02/03/2003,4,2.5,2.3,110.98%,67.94%,519,63.69%,182,340,231,164,168,107,61,180.488,2,3,3
118,Zoltán Boros,Okresný súd Rimavská Sobota,Trest,výborné,17.-109.,01/01/2002,7,7,6,109.12%,62.96%,32,76.53%,335,27,17,307,98,75,23,356.636,1,1,2
119,Erika Borovská,Okresný súd Kežmarok,Civil,nadpriemerné,110.-314.,01/02/2002,9,3.5,4,90.83%,30.50%,205,86.12%,495,282,86,545,209,180,29,189.626,1,2,2
124,Božena Brinčíková,Okresný súd Partizánske,Iné,priemerné,315.-511.,01/02/2003,7,6,2.7,121.88%,48.75%,206,75.81%,156,80,39,128,186,141,45,128.644,1,2,3
132,Dagmar Buchalová,Mestský súd Bratislava II,Civil,podpriemerné,512.-651.,03/03/2001,2,2,6.7,27.66%,31.91%,264,56.18%,333,865,276,1204,340,191,149,327.774,3,3,1
136,Ladislav Bujňák,Okresný súd Trebišov,Trest,podpriemerné,512.-651.,03/02/2002,3,4,3.7,90.91%,24.83%,176,60.07%,300,145,36,330,273,164,109,151.303,3,2,2
138,Boris Buľubaš,Okresný súd Skalica,Civil,priemerné,315.-511.,02/02/2002,6,6,4.3,146.53%,37.82%,345,72.17%,211,193,73,144,345,249,96,202.747,2,2,2
