,ID,judge,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
1,111, Ján Bodnár,6,7,10,4
2,464, Ľuboš Chrenko,4,4,7,7
3,690, Marián Kusý,0,5,4,5
4,874, Marián Mokoš,4,4,7,6
5,893, Marta Murgašová,4,5,6,5
6,1462, Zdenka Zamecová,5,7,7,6
7,244,JUDr. Adriana Dulovičová,10,10,7,9
8,593,JUDr. Adriana Konkolovská,6,5,7,3
9,1028,JUDr. Adriana Považanová,4,4,10,6
10,3013,JUDr. Adriana Pytliaková Dr.,5,3,6,5
11,1208,JUDr. Adriana Szaniszlová,6,7,7,3
12,147,JUDr. Agáta Burkušová,1,9,4,3
13,2568,JUDr. Agáta Štefaničová,6,6,6,8
14,454,JUDr. Agnesa Hvastová,10,1,2,8
15,909,JUDr. Agneša Néveryová,3,4,0,2
16,94,JUDr. Alena Bieliková,5,7,7,6
17,106,JUDr. Alena Blašková,7,4,5,4
18,262,JUDr. Alena Ernestová,5,4,6,3
19,523,JUDr. Alena Káčeriková,5,8,7,4
20,788,JUDr. Alena Martinusová,8,6,7,2
21,805,JUDr. Alena Mazúrová,4,5,4,4
22,849,JUDr. Alena Miková,4,8,5,5
23,931,JUDr. Alena Ondrejová,6,6,10,6
24,1083,JUDr. Alena Roštárová,9,6,8,8
25,872,JUDr. Alexandra Mochnacká,0,6,10,5
26,314,JUDr. Alica Gálová,8,6,10,4
27,325,JUDr. Alica Gavalcová,3,4,3,5
28,1089,JUDr. Alica Ružbárska,4,6,5,2
29,1437,JUDr. Alica Vörösová,6,4,5,5
30,305,JUDr. Andrea Gabrielová,7,8,8,5
31,309,JUDr. Andrea Galdunová,10,10,9,5
32,331,JUDr. Andrea Gazdagová,6,7,8,8
33,340,JUDr. Andrea Gindlová,1,9,5,7
34,395,JUDr. Andrea Havírová,7,2,8,3
35,434,JUDr. Andrea Hrneková,6,3,0,3
36,591,JUDr. Andrea Kondllová,7,1,4,6
37,649,JUDr. Andrea Kralovičová,5,3,4,5
38,654,JUDr. Andrea Krišková,0,10,0,5
39,1431,JUDr. Andrea Vojteková-Fejérová,3,8,3,6
40,1442,JUDr. Andrea Vyskočová,3,7,0,6
41,1483,JUDr. Andrea Zolotová,7,4,6,8
42,465,JUDr. Andrej Chuda,6,7,10,4
43,667,JUDr. Andrej Kubinský,6,4,6,4
44,739,JUDr. Andrej Lukáč,3,5,4,1
45,800,JUDr. Andrej Matušovic,6,3,10,7
46,865,JUDr. Andrej Mitterpák,7,2,10,8
47,1170,JUDr. Andrej Stachovič,4,6,4,9
48,2417,JUDr. Anna Hýseková,0,8,5,8
49,3339,JUDr. Anna Irikovská,6,8,8,9
50,543,JUDr. Anna Kašajová,5,3,0,6
51,567,JUDr. Anna Klepáčová,8,9,7,8
52,732,JUDr. Anna Lisá,4,5,5,1
53,758,JUDr. Anna Majeriková,8,8,6,7
54,847,JUDr. Anna Miklová,7,8,9,8
55,881,JUDr. Anna Moravová,4,7,5,3
56,989,JUDr. Anna Pikulová,5,6,7,7
57,1000,JUDr. Anna Plichtíková,8,3,5,4
58,1346,JUDr. Anna Trnková,7,3,8,3
59,1398,JUDr. Anna Vargová,5,5,4,7
60,1102,JUDr. Antónia Salayová,10,0,4,8
61,601,JUDr. Arpád Koreň,10,8,10,7
62,959,JUDr. Arpád Pastorek,8,2,0,4
63,959,JUDr. Arpád Pastorek,0,0,0,4
64,999,JUDr. Barbara Plaskurová,0,6,2,7
65,2583,"JUDr. Bc. Viktor Marko, PhD.",5,4,8,3
66,102,JUDr. Beáta Bizoňová,7,3,2,8
67,267,JUDr. Beáta Farkašová,5,8,6,5
68,337,JUDr. Beáta Gešvantnerová,6,7,7,8
69,936,JUDr. Beáta Oreničová,7,10,8,4
70,1115,JUDr. Beáta Schmidtová,7,5,10,5
71,1194,JUDr. Beáta Svediaková,6,6,5,5
72,1293,JUDr. Beáta Šuťaková,5,5,9,6
73,1307,JUDr. Bibiana Ťažiarová,3,7,6,7
