,id,judge,court,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
1,194,JUDr. Ivan Ďalak,Okresný súd Rimavská Sobota,10,9,9,10
2,1492,JUDr. Margita Žilková,Okresný súd Rimavská Sobota,8,8,9,10
3,699,JUDr. Viera Kvetková,Okresný súd Rimavská Sobota,10,10,8,8
4,2576,Mgr. Zuzana Dojčánová,Okresný súd Galanta,10,7,8,9
5,186,JUDr. Eva Čipková,Okresný súd Rimavská Sobota,9,8,8,9
6,1310,JUDr. Marian Tengely,Okresný súd Rožňava,10,2,8,10
7,244,JUDr. Adriana Dulovičová,Okresný súd Rimavská Sobota,7,9,8,9
8,715,JUDr. Danka Lauková,Okresný súd Prievidza,7,6,8,10
9,311,JUDr. Ján Gallo,Okresný súd Rožňava,3,10,10,10
10,602,JUDr. Martina Koreňová,Okresný súd Rimavská Sobota,7,9,8,9
11,165,JUDr. Peter Csank,Okresný súd Rimavská Sobota,4,8,10,10
12,3347,JUDr. Radka Laceková,Okresný súd Levice,9,4,7,10
13,691,JUDr. Edita Kušnírová,Okresný súd Rožňava,9,3,7,10
14,2421,JUDr. Michal Kubiš,Okresný súd Bratislava IV,10,4,7,9
15,1535,JUDr. Zoltán Orlai,Okresný súd Veľký Krtíš,4,9,9,10
16,461,JUDr. Ľubica Chmelanová,Okresný súd Prievidza,8,5,8,9
17,1253,JUDr. Ľudmila Škvaridlová,Okresný súd Prievidza,8,5,8,9
18,1483,JUDr. Andrea Zolotová,Okresný súd Vranov nad Topľou,10,2,7,9
19,1377,JUDr. Juraj Valášek,Okresný súd Bánovce nad Bebravou,3,10,10,9
20,889,JUDr. PhD. Lenka Müllerová,Okresný súd Žilina,7,10,7,8
21,389,Mgr. Marián Hatala,Okresný súd Nové Zámky,7,5,8,9
22,337,JUDr. Beáta Gešvantnerová,Okresný súd Prievidza,6,6,8,9
23,837,JUDr. Božena Michaláčová,Okresný súd Skalica,10,2,9,7
24,213,JUDr. Darina Dobošová,Okresný súd Košice II,10,4,8,7
25,2548,"JUDr. Ingrid Kišacová, PhD.",Okresný súd Topoľčany,2,10,10,9
26,2667,JUDr. Ľuboš Murgaš,Okresný súd Veľký Krtíš,4,5,9,10
27,183,JUDr. Mária Červenáková,Okresný súd Levice,10,3,7,8
28,1386,JUDr. Dagmar Valocká,Okresný súd Trnava,6,7,7,9
29,170,JUDr. Diana Cviková,Okresný súd Nové Zámky,3,7,10,9
30,3371,JUDr. Ivana Michalíková,Okresný súd Liptovský Mikuláš,4,6,8,10
31,341,JUDr. Mariana Ginelliová,Okresný súd Košice okolie,4,8,10,8
32,1280,JUDr. Miriam Štillová,Okresný súd Martin,9,4,7,8
33,522,Mgr. Michal Kačáni,Okresný súd Bratislava I,3,6,9,10
34,559,JUDr. Eva Kiššová,Okresný súd Prievidza,3,8,9,9
35,2570,JUDr. Juraj Vallo,Okresný súd Banská Bystrica,10,4,7,7
36,1244,JUDr. Klaudia Šišková,Okresný súd Prievidza,4,5,8,10
37,1932,JUDr. Ondrej Melišek,Okresný súd Komárno,10,2,8,7
38,1286,JUDr. Renáta Šulajová,Okresný súd Lučenec,5,7,9,8
39,118,JUDr. Zoltán Boros,Okresný súd Rimavská Sobota,5,10,9,7
40,388,Mgr. Marianna Hašková,Okresný súd Prievidza,5,6,8,9
41,12,JUDr. Dagmar Aradská,Okresný súd Komárno,10,4,8,6
42,83,JUDr. Daniel Béreš,Okresný súd Žilina,3,7,9,9
43,1216,JUDr. Ľubomír Šabla,Okresný súd Revúca,4,6,7,10
44,814,JUDr. Martina Melníková,Okresný súd Vranov nad Topľou,7,4,8,8
45,62,JUDr. Peter Bebej,Okresný súd Dolný Kubín,4,7,8,9
46,2424,JUDr. Vladimír Tamaškovič,Okresný súd Nové Zámky,3,7,9,9
47,167,Mgr. Božena Csibrányiová,Okresný súd Nové Zámky,8,4,7,8
48,2338,Mgr. Pavol Macháč,Okresný súd Piešťany,4,7,8,9
49,454,JUDr. Agnesa Hvastová,Okresný súd Rožňava,8,2,6,9
50,73,JUDr. Eva Benčová,Okresný súd Banská Bystrica,5,6,7,9
51,1237,JUDr. Ivan Šimek,Okresný súd Skalica,4,7,9,8
52,1169,JUDr. Jana Sroková,Okresný súd Stará Ľubovňa,3,7,7,10
53,1352,JUDr. Jana Třešková,Okresný súd Senica,3,9,9,8
54,252,JUDr. Jarmila Dušáková,Okresný súd Rožňava,4,4,9,9
55,128,JUDr. Martina Brniaková,Okresný súd Žilina,6,6,6,9
56,1457,JUDr. Peter Zachar,Okresný súd Rimavská Sobota,3,10,10,7
57,798,JUDr. Róbert Matulák,Okresný súd Prievidza,5,7,8,8
58,806,JUDr. Terézia Mecelová,Okresný súd Piešťany,10,1,3,10
59,547,Mgr. Andrej Kekely,Okresný súd Žilina,9,3,6,8
60,63,Mgr. Iveta Bebejová,Okresný súd Dolný Kubín,4,10,9,7
61,530,Mgr. Miriam Kamenská,Okresný súd Banská Bystrica,4,7,6,10
62,865,JUDr. Andrej Mitterpák,Okresný súd Košice I,3,6,10,8
63,847,JUDr. Anna Miklová,Okresný súd Nové Zámky,4,8,8,8
64,1117,JUDr. Jarmila Schromová,Okresný súd Prievidza,5,6,8,8
65,1459,JUDr. Katarína Zajacová,Okresný súd Prievidza,7,4,7,8
66,1103,JUDr. Lenka Saloková,Okresný súd Košice okolie,3,9,10,7
67,1057,JUDr. Miroslav Račko,Okresný súd Lučenec,4,9,9,7
68,1887,JUDr. Zuzana Slušná,Okresný súd Trenčín,10,2,5,8
69,43,JUDr. Iveta Banghová,Okresný súd Komárno,3,9,8,8
70,272,JUDr. Iveta Farkašovská,Okresný súd Rožňava,8,3,6,8
71,836,JUDr. Iveta Mihóková,Okresný súd Vranov nad Topľou,3,10,9,7
72,632,JUDr. Ján Kozenko,Okresný súd Vranov nad Topľou,6,3,8,8
73,773,JUDr. Marián Manduch,Okresný súd Trenčín,4,6,10,7
74,473,JUDr. Martin Ivan,Okresný súd Komárno,3,7,9,8
75,3344,"JUDr. Milan Majerník, PhD.",Okresný súd Bardejov,8,2,8,7
76,486,JUDr. Monika Jakubová,Okresný súd Dunajská Streda,8,4,7,7
77,1126,JUDr. Monika Sitáriková,Okresný súd Bánovce nad Bebravou,4,4,8,9
78,991,JUDr. Zuzana Pilátová,Okresný súd Žilina,3,7,9,8
79,774,Mgr. Miriam Manová,Okresný súd Bánovce nad Bebravou,3,10,9,7
80,89,Mgr. Viera Betáková,Okresný súd Nové Zámky,10,4,8,5
81,601,JUDr. Arpád Koreň,Okresný súd Rožňava,3,10,10,6
82,1338,JUDr. Eva Tóthová,Okresný súd Trenčín,3,9,9,7
83,1069,JUDr. Gertrúda Rennerová,Okresný súd Levice,8,4,8,6
84,917,JUDr. Jana Novotná Mlinárcsik,Okresný súd Žilina,5,5,6,9
85,1851,JUDr. Jana Tomášová,Okresný súd Humenné,3,6,6,10
86,1088,JUDr. Katarína Rusňáková,Okresný súd Bratislava V,10,4,6,6
87,42,JUDr. Miroslav Baňacký,Okresný súd Košice okolie,4,5,10,7
88,815,JUDr. Peter Mén,Okresný súd Košice okolie,3,6,9,8
89,315,JUDr. Stanislav Galovič,Okresný súd Lučenec,3,10,10,6
90,1330,JUDr. Vladimír Topoľančík,Okresný súd Ružomberok,3,9,9,7
91,1141,JUDr. Vladimíra Slobodová,Okresný súd Skalica,10,3,8,5
92,1597,JUDr. Zuzana Pribulová,Okresný súd Trnava,6,4,7,8
93,1176,Mgr. Ingrid Steinsdorferová,Okresný súd Banská Bystrica,3,8,8,8
94,1157,Mgr. Iveta Sonderlichová,Okresný súd Košice okolie,3,4,10,8
95,1860,Mgr. Ľubomíra Podmaníková,Okresný súd Topoľčany,2,10,8,8
96,756,Mgr. Ľudovít Majerčík,Okresný súd Komárno,4,10,9,6
97,7,Mgr. Marek Anovčin,Okresný súd Bánovce nad Bebravou,4,4,9,8
98,856,"Mgr. Viera Milatová, PhD.",Okresný súd Bratislava V,10,3,5,7
99,591,JUDr. Andrea Kondllová,Okresný súd Piešťany,4,6,9,7
100,745,JUDr. Dana Macášková,Okresný súd Trnava,8,3,5,8
101,1472,JUDr. František Zelený,Okresný súd Poprad,10,3,6,6
102,817,JUDr. Helena Menichová,Okresný súd Martin,5,8,7,7
103,713,JUDr. Ján Lapšanský,Okresný súd Spišská Nová Ves,3,6,10,7
104,3375,JUDr. Ladislav Réves,Okresný súd Trnava,2,5,7,10
105,3404,JUDr. Michaela Buceková PhD.,Okresný súd Bratislava II ,2,6,8,9
106,579,JUDr. Miriam Kohútová,Okresný súd Prievidza,5,4,9,7
107,763,JUDr. Miroslava Maláriková,Okresný súd Trnava,8,4,6,7
108,1433,JUDr. Stanislav Vojtko,Okresný súd Michalovce,6,5,9,6
109,754,Mgr. Danka Majdáková,Okresný súd Stará Ľubovňa,3,6,7,9
110,381,Mgr. Kornélia Harcsová,Okresný súd Nové Zámky,8,3,8,6
111,455,Mgr. Peter Hvizdoš,Okresný súd Trenčín,10,2,5,7
112,2422,Mgr. Silvia Kysucká,Okresný súd Považská Bystrica,3,7,8,8
113,106,JUDr. Alena Blašková,Okresný súd Partizánske,9,3,5,7
114,1170,JUDr. Andrej Stachovič,Okresný súd Nové Mesto nad Váhom,3,5,7,9
115,138,JUDr. Boris Buľubaš,Okresný súd Skalica,10,1,5,7
116,1380,JUDr. Eduard Valenčin,Okresný súd Prešov,10,2,3,8
117,710,JUDr. Elena Lámerová,Okresný súd Brezno,3,10,9,6
118,748,JUDr. Eva Macúchová,Okresný súd Nové Mesto nad Váhom,3,6,5,10
119,189,JUDr. František Čisovský,Okresný súd Košice II,9,4,6,6
120,1060,JUDr. Igor Ragan,Okresný súd Michalovce,5,8,8,6
121,3376,JUDr. Jozef Šulek,Okresný súd Trnava,8,3,6,7
122,1304,JUDr. Klaudia Talašová,Okresný súd Bratislava V,3,9,8,7
123,157,JUDr. Ľubica Cambelová,Okresný súd Levice,10,1,5,7
124,1033,JUDr. Lucia Prčová,Okresný súd Revúca,5,4,4,10
125,35,JUDr. Magdaléna Balážová,Okresný súd Lučenec,5,5,8,7
126,638,JUDr. Michaela Krajčová,Okresný súd Bratislava II ,5,7,7,7
127,573,JUDr. Renáta Kňazúrová,Okresný súd Dolný Kubín,4,8,9,6
128,914,JUDr. Štefan Novák,Okresný súd Banská Bystrica,3,7,9,7
129,2666,Mgr. Ing. Judita Gabonaiová Hrenčuková,Okresný súd Rožňava,7,5,9,5
130,240,Mgr. Ivana Dufalová,Okresný súd Bratislava III,4,8,6,8
131,398,Mgr. Ivana Heinrichová,Okresný súd Nitra,9,4,6,6
132,611,Mgr. Jana Koščová,Okresný súd Košice II,10,4,8,4
133,331,JUDr. Andrea Gazdagová,Okresný súd Košice okolie,3,7,7,8
134,716,JUDr. Branislav Lečko,Okresný súd Žilina,3,10,4,9
135,813,JUDr. Cecília Melišková,Okresný súd Nové Zámky,3,7,10,6
136,3352,JUDr. Dušan Szabó,Okresný súd Trnava,3,3,9,8
137,511,JUDr. Erika Jóbová,Okresný súd Komárno,3,6,9,7
138,402,JUDr. Eva Herichová,Okresný súd Spišská Nová Ves,3,7,10,6
139,857,JUDr. Ján Miľko,Okresný súd Trebišov,4,5,7,8
140,237,JUDr. Jana Dudíková,Okresný súd Košice okolie,3,7,7,8
141,503,JUDr. Jarmila Jánošová,Okresný súd Banská Bystrica,7,4,6,7
142,750,JUDr. Marián Mačura,Okresný súd Prešov,3,7,10,6
143,40,JUDr. Martin Baločko,Okresný súd Košice I,3,7,10,6
144,9,JUDr. Michal Antala,Okresný súd Trenčín,3,6,9,7
145,281,JUDr. Michal Fiala,Okresný súd Trenčín,3,8,8,7
146,1364,JUDr. Michal Uhorskai,Okresný súd Revúca,4,8,10,5
147,2425,JUDr. Michal Valent,Okresný súd Bratislava I,3,6,9,7
148,731,JUDr. Monika Liptáková,Okresný súd Žilina,3,8,8,7
149,1087,JUDr. Radoslav Rusnák,Okresný súd Spišská Nová Ves,3,7,10,6
150,902,JUDr. Renáta Nemčeková PhD.,Okresný súd Bratislava V,10,4,6,5
151,1262,"JUDr. Robert Šorl, PhD.",Okresný súd Prievidza,4,4,9,7
152,366,Mgr. Adriana Halajová,Okresný súd Nitra,8,3,4,8
153,2502,Mgr. Adriana Šimková,Okresný súd Malacky,3,9,9,6
154,1249,Mgr. Katarína Škrovanová,Okresný súd Senica,3,6,9,7
155,1283,Mgr. Martin Štubniak,Okresný súd Žiar nad Hronom,8,3,7,6
156,94,JUDr. Alena Bieliková,Okresný súd Trenčín,6,6,7,6
157,340,JUDr. Andrea Gindlová,Okresný súd Žiar nad Hronom,6,3,7,7
158,571,JUDr. Branislav Klukoš,Okresný súd Ružomberok,3,9,10,5
159,588,JUDr. Dagmar Komadová,Okresný súd Veľký Krtíš,3,10,8,6
160,921,JUDr. Denisa Novotná Mlinárcsiková,Okresný súd Košice I,3,6,4,10
161,597,JUDr. Eva Korbeľová,Okresný súd Banská Bystrica,3,6,10,6
162,845,JUDr. Eva Miklošková,Okresný súd Bratislava V,7,5,5,7
163,234,JUDr. Gabriela Dúbravková,Okresný súd Žilina,8,4,6,6
164,1144,JUDr. Ján Slovinský,Okresný súd Spišská Nová Ves,3,6,10,6
165,1285,JUDr. Ján Šulaj,Okresný súd Lučenec,4,8,8,6
166,1415,JUDr. Jana Veselá,Okresný súd Dolný Kubín,5,6,8,6
167,329,JUDr. Mária Gazdačková,Okresný súd Martin,7,3,6,7
168,1002,JUDr. Mariana Podbehlá,Okresný súd Nitra,9,3,4,7
169,1388,JUDr. Milan Vaľuš,Okresný súd Vranov nad Topľou,9,2,6,6
170,698,JUDr. Miroslava Kvetková,Okresný súd Revúca,3,6,7,8
171,1202,JUDr. Sylvia Szabadošová,Okresný súd Prešov,4,6,6,8
172,1493,Mgr. Alica Žingorová,Okresný súd Rimavská Sobota,3,7,8,7
173,833,Mgr. Anna Miháliková,Okresný súd Žilina,10,3,3,7
174,1692,Mgr. Anna Monoková,Okresný súd Vranov nad Topľou,3,4,8,8
175,96,Mgr. Jarmila Bíliková,Okresný súd Skalica,8,4,9,4
176,504,Mgr. Katarína Janotová,Okresný súd Martin,5,7,6,7
177,351,Mgr. Miloš Greguš,Okresný súd Košice I,10,3,6,5
178,319,Mgr. Peter Garaj,Okresný súd Nové Zámky,6,4,8,6
179,1208,JUDr. Adriana Szaniszlová,Okresný súd Košice II,10,3,7,4
180,97,JUDr. Eva Bíróová,Okresný súd Dunajská Streda,9,4,6,5
181,1140,JUDr. Gabriel Slobodník,Okresný súd Banská Bystrica,6,3,5,8
182,1275,JUDr. Ivan Štepita,Okresný súd Ružomberok,3,7,9,6
183,1061,JUDr. Jana Raganová,Okresný súd Košice I,10,1,5,6
184,342,JUDr. Kristina Glezgová,Okresný súd Lučenec,5,8,8,5
185,2846,JUDr. Marcela Kačmárová,Okresný súd Trenčín,5,6,6,7
186,3349,JUDr. Marián Dunčko,Okresný súd Trnava,4,5,9,6
187,1094,JUDr. Marta Rybárová,Okresný súd Trenčín,4,9,7,6
188,360,JUDr. Milan Gylánik,Okresný súd Čadca,3,5,10,6
189,215,JUDr. Miroslav Dobrík,Okresný súd Martin,10,3,7,4
190,1040,JUDr. Petra Priečinská,Okresný súd Bratislava II ,7,4,5,7
191,1299,JUDr. Silvia Šviderská,Okresný súd Vranov nad Topľou,4,7,8,6
192,474,JUDr. Slavomír Ivanecký,Okresný súd Bardejov,3,7,9,6
193,618,JUDr. Tatiana Kovácsová,Okresný súd Lučenec,3,10,9,5
194,1043,Mgr. Daniela Pristášová,Okresný súd Michalovce,7,4,5,7
195,2540,Mgr. Eva Jombíková,Okresný súd Zvolen,4,7,8,6
196,8,Mgr. Ivan Antal,Okresný súd Rimavská Sobota,3,7,9,6
197,2579,Mgr. Michal Novotný,Okresný súd Dunajská Streda,7,4,8,5
198,3350,Mgr. Michal Pollák,Okresný súd Trnava,2,4,7,9
199,3203,Mgr. Silvia Lesňáková,Okresný súd Liptovský Mikuláš,4,5,9,6
200,980,Mgr. Viera Petrová,Okresný súd Trebišov,7,3,7,6
201,1028,JUDr. Adriana Považanová,Okresný súd Zvolen,3,6,9,6
202,2568,JUDr. Agáta Štefaničová,Okresný súd Michalovce,7,4,6,6
203,1115,JUDr. Beáta Schmidtová,Okresný súd Trenčín,4,7,9,5
204,1194,JUDr. Beáta Svediaková,Okresný súd Žilina,10,3,5,5
205,2896,JUDr. Erik Tomus,Okresný súd Malacky,4,6,8,6
206,722,JUDr. Erika Lengyelová,Okresný súd Dunajská Streda,10,1,6,5
207,1020,JUDr. Hana Posluchová,Okresný súd Bratislava II ,7,4,6,6
208,1381,JUDr. Igor Valent,Okresný súd Žiar nad Hronom,4,3,8,7
209,3333,JUDr. Ingrid Šimonová,Okresný súd Piešťany,7,4,6,6
210,4,JUDr. Ivan Alman,Okresný súd Bratislava IV,4,7,9,5
211,1452,JUDr. Iveta Wildeová,Okresný súd Prešov,4,4,3,10
212,542,JUDr. Jarmila Kasanová,Okresný súd Žiar nad Hronom,5,3,7,7
213,1231,JUDr. Marek Šenkár,Okresný súd Žilina,3,6,6,8
214,823,JUDr. Marie Mészárosová,Okresný súd Dunajská Streda,9,3,6,5
215,707,JUDr. Martina Ľachová,Okresný súd Galanta,10,3,5,5
216,1187,JUDr. Miroslav Studenčan,Okresný súd Galanta,3,6,9,6
217,2550,JUDr. Miroslava Korbašová,Okresný súd Martin,2,6,7,8
218,974,JUDr. Naďa Pethöová,Okresný súd Galanta,10,2,7,4
219,384,JUDr. Slavomír Harmóci,Okresný súd Michalovce,3,10,10,4
220,1097,JUDr. Tatiana Sabadošová,Okresný súd Michalovce,7,4,6,6
221,2555,JUDr. Viera Malinowska,Okresný súd Malacky,10,6,2,6
222,2551,JUDr. Zuzana Kotríková,Okresný súd Prievidza,6,7,7,5
223,1127,Mgr. Mária Sitárová,Okresný súd Nitra,4,4,9,6
224,314,JUDr. Alica Gálová,Okresný súd Brezno,4,7,10,4
225,989,JUDr. Anna Pikulová,Okresný súd Banská Bystrica,5,4,6,7
226,1408,JUDr. Dagmar Vaverčáková,Okresný súd Bratislava III,5,5,4,8
227,770,JUDr. Igor Malý,Okresný súd Trnava,8,3,5,6
228,1463,JUDr. Libuša Záthurecká,Okresný súd Banská Bystrica,7,3,6,6
229,28,JUDr. Ľuboš Baka,Okresný súd Levice,3,9,10,4
230,175,JUDr. Marek Čech,Okresný súd Prešov,4,1,10,6
231,3158,JUDr. Marián Vorobel,Okresný súd Prešov,3,5,9,6
232,485,JUDr. Milena Jakubíková,Okresný súd Levice,3,7,8,6
233,1396,JUDr. Rastislav Varga,Okresný súd Prešov,3,6,10,5
234,1068,JUDr. Roman Reištetter,Okresný súd Banská Bystrica,3,5,9,6
235,1322,JUDr. Štefan Tomáš,Okresný súd Žilina,4,6,9,5
236,182,JUDr. Vladimír Červeňák,Okresný súd Michalovce,8,10,6,3
237,599,JUDr. Zuzana Korčeková,Okresný súd Bratislava II ,6,3,4,8
238,1179,JUDr. Zuzana Stolárová,Okresný súd Košice I,8,2,4,7
239,659,Mgr. Anna Križáková,Okresný súd Bratislava V,6,5,6,6
240,661,Mgr. Anna Križanová,Okresný súd Nové Zámky,4,8,8,5
241,2426,Mgr. Michal Vigaš,Okresný súd Partizánske,4,5,8,6
242,1419,Mgr. Róbert Veterník,Okresný súd Martin,3,5,9,6
243,870,Mgr. Slavomíra Mlynarčíková,Okresný súd Liptovský Mikuláš,4,7,7,6
244,305,JUDr. Andrea Gabrielová,Okresný súd Lučenec,6,5,7,5
245,3339,JUDr. Anna Irikovská,Okresný súd Považská Bystrica,3,8,7,6
246,778,JUDr. Bc. Viktor Marko,Okresný súd Zvolen,4,5,9,5
247,124,JUDr. Božena Brinčíková,Okresný súd Partizánske,5,3,6,7
248,108,JUDr. Daniela Blažovská,Okresný súd Košice II,4,5,9,5
249,168,JUDr. Eva Cvengová,Okresný súd Banská Bystrica,1,9,7,7
250,291,JUDr. Eva Foltánová,Okresný súd Galanta,10,3,7,3
251,1344,JUDr. Eva Triznová,Okresný súd Lučenec,5,7,7,5
252,1269,JUDr. Gabriel Štefanič,Okresný súd Michalovce,5,6,6,6
253,955,JUDr. Gabriela Panáková,Okresný súd Žilina,4,6,7,6
