,ID,judge,court,year,concourt.decisions,concourt.delays,assigned.agenda.dominant,C.assigned.agenda,Cb.assigned.agenda,P.assigned.agenda,Trest.assigned.agenda,decided.agenda.dominant,workdays,incoming.10.days,E1,E1.mean,E2,E2.mean,E3,E3.mean,E4,E4.mean,E5,E5.mean,E.score.total.new,affirmed,sum.appeals,Q1,Q1.mean,Q2,Q2.mean,Q3,Q3.mean,dominant.agenda,Q.score.total.new,score.total.new,rank
1,111, Ján Bodnár,Okresný súd Rimavská Sobota,2015,0,0,Trest,5,0,0,1720,Trest,1105,78,101.6,97.1,45,377,15,150,33.3,42.6,50,339,19.5,87,142,61.3,63.8,8.1,8.1,3.1,3.0,Trest,6,25.5,194.-213.
2,464, Ľuboš Chrenko,Okresný súd Topoľčany,2015,0,0,C,2311,32,45,0,C,1056,26,92.8,97.1,378,377,181,150,47.9,42.6,224,339,13,134,175,76.6,67.1,7.7,9.3,1.8,3.0,C,10.5,23.5,286.-303.
3,690, Marián Kusý,Okresný súd Trnava,2015,0,0,Trest,0,0,0,1689,Trest,862,98,49.9,97.1,343,377,149,150,43.4,42.6,415,339,6.5,75,114,65.8,63.8,8.7,8.1,3.0,3.0,Trest,7.5,14,650.-662.
4,874, Marián Mokoš,Okresný súd Topoľčany,2015,0,0,C,2189,296,3,0,C,1077,34,90.3,97.1,430,377,207,150,48.1,42.6,235,339,13,249,359,69.4,67.1,15.3,9.3,4.7,3.0,C,9,22,345.-366.
5,893, Marta Murgašová,Mestský súd Bratislava II ,2015,0,0,P,0,0,834,0,P,1040,40,90.0,97.1,168,377,68,150,40.5,42.6,285,339,12.5,33,50,66.0,67.3,7.3,7.6,2.5,2.5,P,7.5,20,444.-466.
6,1462, Zdenka Zamecová,Okresný súd Trnava,2015,3,0,C,1350,0,349,0,C,848,32,99.1,97.1,496,377,135,150,27.2,42.6,239,339,15.5,122,168,72.6,67.1,9.4,9.3,2.6,3.0,C,9,24.5,238.-261.
7,244,JUDr. Adriana Dulovičová,Okresný súd Rimavská Sobota,2015,1,0,C,1948,0,142,0,C,1072,25,143.4,97.1,441,377,40,150,9.1,42.6,205,339,22,242,276,87.7,67.1,13.0,9.3,1.6,3.0,C,13.5,35.5,2.
8,593,JUDr. Adriana Konkolovská,Okresný súd Komárno,2015,0,0,P,96,0,1850,0,P,1021,92,106.1,97.1,206,377,86,150,41.7,42.6,207,339,15.5,64,118,54.2,67.3,6.1,7.6,2.8,2.5,P,4.5,20,444.-466.
9,1028,JUDr. Adriana Považanová,Okresný súd Zvolen,2015,0,0,Trest,0,0,53,1210,Trest,1057,72,89.9,97.1,38,377,19,150,50.0,42.6,68,339,16,70,98,71.4,63.8,8.2,8.1,2.3,3.0,Trest,9,25,214.-237.
10,3013,JUDr. Adriana Pytliaková Dr.,Okresný súd Čadca,2015,3,2,C,883,98,248,80,C,1078,28,98.8,97.1,262,377,143,150,54.6,42.6,284,339,12.5,107,160,66.9,67.1,11.5,9.3,3.8,3.0,C,7.5,20,444.-466.
11,1208,JUDr. Adriana Szaniszlová,Okresný súd Košice II,2015,0,0,C,1325,0,0,0,C,1067,12,102.8,97.1,379,377,113,150,29.8,42.6,237,339,16.5,77,139,55.4,67.1,10.3,9.3,4.6,3.0,C,4.5,21,390.-416.
12,147,JUDr. Agáta Burkušová,Okresný súd Košice II,2015,4,1,C,1393,0,364,0,C,906,35,71.8,97.1,661,377,138,150,20.9,42.6,413,339,9.5,82,146,56.2,67.1,9.5,9.3,4.2,3.0,C,4.5,14,650.-662.
13,2568,JUDr. Agáta Štefaničová,Okresný súd Michalovce,2015,0,0,C,1611,1,0,0,C,1089,15,100.3,97.1,465,377,171,150,36.8,42.6,287,339,15,120,148,81.1,67.1,9.6,9.3,1.8,3.0,C,12,27,134.-152.
14,454,JUDr. Agnesa Hvastová,Okresný súd Rožňava,2015,1,1,C,2206,149,0,0,C,998,30,134.1,97.1,895,377,575,150,64.2,42.6,516,339,12.5,226,281,80.4,67.1,13.7,9.3,2.7,3.0,C,12,24.5,238.-261.
15,909,JUDr. Agneša Néveryová,Okresný súd Komárno,2015,0,0,C,2997,1,1,0,C,1056,28,85.2,97.1,1074,377,492,150,45.8,42.6,591,339,5,143,293,48.8,67.1,11.2,9.3,5.7,3.0,C,3,8,724.-727.
16,94,JUDr. Alena Bieliková,Okresný súd Trenčín,2015,1,0,Cb,0,1579,0,0,Cb,1023,77,99.2,97.1,356,377,102,150,28.7,42.6,253,339,15.5,117,163,71.8,64.9,9.3,8.8,2.6,3.0,Cb,9,24.5,238.-261.
17,106,JUDr. Alena Blašková,Okresný súd Partizánske,2015,1,0,C,1492,643,102,2,C,1072,56,109.0,97.1,434,377,200,150,46.1,42.6,329,339,14,93,150,62.0,67.1,8.1,9.3,3.1,3.0,C,6,20,444.-466.
18,262,JUDr. Alena Ernestová,Okresný súd Spišská Nová Ves,2015,0,0,C,1903,0,245,0,C,1040,30,97.4,97.1,452,377,231,150,51.1,42.6,291,339,13,73,127,57.5,67.1,6.4,9.3,2.7,3.0,C,4.5,17.5,542.-556.
19,523,JUDr. Alena Káčeriková,Okresný súd Martin,2015,1,0,C,458,0,2,0,C,992,5,97.1,97.1,79,377,19,150,24.1,42.6,212,339,16,35,56,62.5,67.1,11.6,9.3,4.4,3.0,C,6,22,345.-366.
20,788,JUDr. Alena Martinusová,Mestský súd Bratislava V,2015,0,0,C,2224,0,0,0,C,950,23,115.0,97.1,335,377,128,150,38.2,42.6,216,339,18,79,148,53.4,67.1,6.3,9.3,2.9,3.0,C,3,21,390.-416.
21,805,JUDr. Alena Mazúrová,Mestský Súd Košice,2015,4,0,C,2319,0,0,0,C,935,25,90.1,97.1,484,377,209,150,43.2,42.6,390,339,10.5,79,128,61.7,67.1,7.0,9.3,2.7,3.0,C,6,16.5,576.-590.
22,849,JUDr. Alena Miková,Okresný súd Košice II,2015,0,0,C,1834,0,0,0,C,1042,18,88.9,97.1,630,377,164,150,26.0,42.6,320,339,13,98,148,66.2,67.1,8.6,9.3,2.9,3.0,C,7.5,20.5,417.-443.
23,931,JUDr. Alena Ondrejová,Okresný súd Rimavská Sobota,2015,0,0,Trest,4,0,0,1772,Trest,1111,80,102.2,97.1,33,377,13,150,39.4,42.6,37,339,19,95,132,72.0,63.8,7.4,8.1,2.1,3.0,Trest,9,28,107.-118.
24,1083,JUDr. Alena Roštárová,Mestský súd Bratislava II ,2015,1,0,C,1716,0,0,0,C,1047,16,124.4,97.1,256,377,98,150,38.3,42.6,161,339,20,116,144,80.6,67.1,7.8,9.3,1.5,3.0,C,12,32,22.-30.
25,872,JUDr. Alexandra Mochnacká,Okresný súd Poprad,2015,0,0,C,1245,58,0,0,C,559,26,54.6,97.1,26,377,10,150,38.5,42.6,50,339,13,98,151,64.9,67.1,14.0,9.3,4.9,3.0,C,7.5,20.5,417.-443.
26,314,JUDr. Alica Gálová,Okresný súd Brezno,2015,0,0,Trest,0,0,0,768,Trest,1065,36,118.8,97.1,42,377,16,150,38.1,42.6,78,339,21,30,49,61.2,63.8,6.0,8.1,2.3,3.0,Trest,6,27,134.-152.
27,325,JUDr. Alica Gavalcová,Okresný súd Brezno,2015,0,0,Cb,738,1012,0,0,Cb,1085,53,86.7,97.1,201,377,101,150,50.2,42.6,467,339,8,44,66,66.7,64.9,7.0,8.8,2.3,3.0,Cb,7.5,15.5,601.-622.
28,1089,JUDr. Alica Ružbárska,Mestský súd Bratislava II ,2015,0,0,Cb,0,1511,0,0,Cb,1041,73,88.1,97.1,470,377,157,150,33.4,42.6,346,339,12,40,78,51.3,64.9,5.8,8.8,2.8,3.0,Cb,3,15,623.-638.
29,1437,JUDr. Alica Vörösová,Okresný súd Dunajská Streda,2015,2,0,C,2252,0,546,0,C,1044,48,101.9,97.1,696,377,337,150,48.4,42.6,365,339,13,132,206,64.1,67.1,8.6,9.3,3.1,3.0,C,7.5,20.5,417.-443.
30,305,JUDr. Andrea Gabrielová,Okresný súd Lučenec,2015,0,0,C,1208,0,508,0,C,1084,35,107.9,97.1,253,377,60,150,23.7,42.6,157,339,19,68,103,66.0,67.1,6.3,9.3,2.1,3.0,C,7.5,26.5,153.-167.
31,309,JUDr. Andrea Galdunová,Okresný súd Košice II,2015,0,0,P,629,0,833,0,P,987,49,151.6,97.1,182,377,0,150,0.0,42.6,124,339,24,78,122,63.9,67.3,7.4,7.6,2.7,2.5,P,7.5,31.5,31.-40.
32,331,JUDr. Andrea Gazdagová,Okresný súd Košice okolie,2015,0,0,P,261,0,1841,0,P,1006,94,102.5,97.1,219,377,67,150,30.6,42.6,175,339,17.5,43,52,82.7,67.3,2.7,7.6,0.5,2.5,P,12,29.5,64.-73.
