name	date	type
JUDr. Ľubica Adamčíková	1.2.1996	n/a
Mgr. Stella Al Khufash	20.3.1996	n/a
JUDr. Ivan Alman	1.7.1996	n/a
Mgr. Magdaléna Andreánska	26.3.1998	4 - ročný mandát
Mgr. Ivan Antal	19.5.1998	bez obmedzenia
JUDr. Alena Antalová	11.2.1997	bez obmedzenia
Mgr. Zuzana Antalová	13.9.1995	n/a
JUDr. Jana Árendášová	12.12.1996	bez obmedzenia
JUDr. Marianna Arnoldová, CSc.	19.5.1998	bez obmedzenia
JUDr. Renáta Audová	10.5.1995	n/a
JUDr. Ján Auxt	10.5.1995	n/a
JUDr. Jarmila Badíková	8.7.1998	bez obmedzenia
JUDr. Oľga Bahníková	12.12.1996	bez obmedzenia
JUDr. Ľuboš Baka	12.12.1996	4 - ročný mandát
JUDr. Ľubica Balalová	6.12.2000	4 - ročný mandát
Mgr. Angela Balázsová	8.7.1998	bez obmedzenia
JUDr. Monika Balážová	12.12.1996	bez obmedzenia
JUDr. Martin Bargel	1.2.1996	n/a
JUDr. Gabriela Bargelová	19.5.1998	bez obmedzenia
Mgr. Barbora Barteková	19.5.1998	bez obmedzenia
JUDr. Peter Bebej	1.2.1996	n/a
Mgr. Ján Bednár	1.2.1996	n/a
JUDr. Otília Belavá	19.5.1998	bez obmedzenia
JUDr. Eva Benčová	1.2.1996	n/a
Mgr. František Berec	26.3.1998	4 - ročný mandát
JUDr. Elena Berthotyová, PhD.	19.5.1998	bez obmedzenia
Mgr. Viera Betáková	10.5.1995	n/a
JUDr. Alena Bieliková	26.3.1998	4 - ročný mandát
JUDr. Eva Bíróová	10.5.1995	n/a
JUDr. Oľga Bitalová	1.2.1996	n/a
JUDr. Beata Bizoňová	1.2.1996	n/a
JUDr. Marián Blaha	1.2.1996	n/a
JUDr. Mária Blahovská	12.12.1996	bez obmedzenia
JUDr. Alena Blašková	26.3.1998	4 - ročný mandát
JUDr. Erika Borovská	8.7.1998	bez obmedzenia
JUDr. Gabriela Brišková	20.3.1996	n/a
JUDr. Dagmar Buchalová	19.5.1998	bez obmedzenia
JUDr. Helena Buchová	19.5.1998	bez obmedzenia
JUDr. Ľubomír Bundzel	20.3.1996	n/a
JUDr. Janka Butašová	8.7.1998	bez obmedzenia
JUDr. Dana Bystrianska	10.5.1995	n/a
JUDr. Ján Bzdúšek	12.12.1996	bez obmedzenia
JUDr. Michal Calko	13.9.1995	n/a
JUDr. Mária Cifrová	26.3.1998	4 - ročný mandát
JUDr. Slavomír Cimerman	12.12.1996	bez obmedzenia
JUDr. Jana Coboriová	1.2.1996	n/a
JUDr. Marek Čech	26.3.1998	4 - ročný mandát
JUDr. Angela Čechová	10.5.1995	n/a
JUDr. Valéria Černegová	12.12.1996	bez obmedzenia
JUDr. Vladimír Červeňák	1.7.1996	n/a
Mgr. Dušan Čimo	8.7.1998	bez obmedzenia
Mgr. Zuzana Čisovská	26.3.1998	4 - ročný mandát
JUDr. František Čisovský	26.3.1998	4 - ročný mandát
Mgr. Ivana Datlová	11.2.1997	bez obmedzenia
JUDr. Renáta Deáková	12.12.1996	4 - ročný mandát
Mgr. Marián Degma	26.3.1998	4 - ročný mandát
Mgr. Pavol Dekánek	1.2.1996	n/a
JUDr. Irena Dobňáková	8.7.1998	bez obmedzenia
JUDr. Darina Dobošová	26.3.1998	4 - ročný mandát
JUDr. Ľubomír Dobrík	19.5.1998	bez obmedzenia
JUDr. Zuzana Doricová	13.9.1995	n/a
JUDr. Jana Dubivská	13.9.1995	n/a
JUDr. Viera Dubovinská	1.7.1996	n/a
JUDr. Gabriela Dúbravková	26.3.1998	4 - ročný mandát
JUDr. Helena Dudzíková	12.12.1996	4 - ročný mandát
Mgr. Ivana Dufalová	1.2.1996	n/a
JUDr. Stanislav Dutko	19.5.1998	bez obmedzenia
JUDr. Dušan Ecker	12.12.1996	4 - ročný mandát
JUDr. Beata Farkašová	20.3.1996	n/a
JUDr. Iveta Farkašovská	12.12.1996	bez obmedzenia
Mgr. Milena Fegyesová	9.5.2000	4 - ročný mandát
Mgr. Maroš Fekete	6.12.2000	4 - ročný mandát
JUDr. Jana Fígerová	8.7.1998	bez obmedzenia
JUDr. Martin Fiľakovský	8.7.1998	bez obmedzenia
JUDr. Ľubica Filová	1.2.1996	n/a
JUDr. Mária Filová	11.2.1997	4 - ročný mandát
JUDr. Roman Fitt	8.7.1998	bez obmedzenia
JUDr. Eva Franková	13.9.1995	n/a
Mgr. Gabriel Frankovič	8.7.1998	bez obmedzenia
JUDr. Gabriela Fuchsová	8.7.1998	bez obmedzenia
JUDr. Ladislav Gábor	8.7.1998	bez obmedzenia
JUDr. Ing. Ján Gandžala, PhD.	13.9.1995	n/a
Mgr. Peter Garaj	21.1.2000	bez obmedzenia
JUDr. Soňa Gašková	1.7.1996	n/a
JUDr. Mária Gazdačková	19.5.1998	bez obmedzenia
JUDr. Kristína Glezgová	6.12.2000	4 - ročný mandát
Mgr. Richard Golis	8.7.1998	bez obmedzenia
Mgr. Monika Grešková	13.9.1995	n/a
JUDr. Jarmila Gulová	8.7.1998	bez obmedzenia
Mgr. Adriana Halajová	12.12.1996	4 - ročný mandát
JUDr. Jana Halušková	20.3.1996	n/a
JUDr. Ivica Hanusková	21.1.2000	bez obmedzenia
JUDr. Jana Hanzlíková	10.5.1995	n/a
Mgr. Marián Hatala	13.9.1995	n/a
JUDr. Kamila Haverlová	12.12.1996	bez obmedzenia
JUDr. Peter Heinrich	26.3.1998	4 - ročný mandát
JUDr. Mária Hirjaková	19.5.1998	bez obmedzenia
Mgr. Mária Hlaváčová	10.5.1995	n/a
Mgr. Emília Horňáková	1.2.1996	n/a
Mgr. Bohuš Hruška	1.7.1996	n/a
Mgr. Martina Hrušovská, PhD.	8.7.1998	bez obmedzenia
JUDr. Jana Hullová	12.12.1996	bez obmedzenia
Mgr. Milan Hupka	12.12.1996	4 - ročný mandát
JUDr. Božena Husárová	19.5.1998	bez obmedzenia
Mgr. Roman Huszár	12.12.1996	4 - ročný mandát
JUDr. Gabriela Janáková	26.3.1998	4 - ročný mandát
JUDr. Marián Jarábek	12.12.1996	bez obmedzenia
JUDr. Iveta Jenčová	13.9.1995	n/a
Eva Jombíková	11.2.1997	bez obmedzenia
JUDr. Beáta Jurgošová	8.7.1998	bez obmedzenia
JUDr. Milan Jurko	8.7.1998	bez obmedzenia
JUDr. Katarína Jusková	12.12.1996	bez obmedzenia
JUDr. Adriana Kálmanová, PhD.	19.5.1998	bez obmedzenia
JUDr. Marta Kamenská	1.7.1996	n/a
JUDr. Jarmila Kasanová	8.7.1998	bez obmedzenia
Mgr. Patrície Kepeňová	9.5.2000	4 - ročný mandát
JUDr. Kajetán Kičura	1.2.1996	n/a
JUDr. Dr. Ingrid Kišacová	12.12.1996	4 - ročný mandát
JUDr. Zdenka Kleimanová	12.12.1996	bez obmedzenia
JUDr. Gabriela Klenková, PhD.	8.7.1998	bez obmedzenia
JUDr. Anna Klepáčová	8.7.1998	bez obmedzenia
JUDr. Mária Klepancová	12.12.1996	bez obmedzenia
JUDr. Eva Kmeťová	11.2.1997	bez obmedzenia
JUDr. Renáta Kňazúrová	12.12.1996	4 - ročný mandát
JUDr. Judita Kokolevská	12.12.1996	bez obmedzenia
JUDr. Adriana Konkolovská	10.5.1995	n/a
JUDr. Dáša Kontríková	1.7.1996	n/a
JUDr. Martin Kopšo	10.5.1995	n/a
JUDr. Klaudia Kosková	1.7.1996	n/a
JUDr. Helena Kosorínová	1.2.1996	n/a
Mgr. Jana Kosorínová	26.3.1998	4 - ročný mandát
Mgr. Marcela Kosová	26.3.1998	4 - ročný mandát
Mgr. Jana Koščová	6.12.2000	bez obmedzenia
Mgr. Viera Kováčová	26.3.1998	4 - ročný mandát
JUDr. Anna Kovaľová	19.5.1998	bez obmedzenia
JUDr. Margita Kovaľová	26.3.1998	4 - ročný mandát
JUDr. Helena Kožíková	11.2.1997	4 - ročný mandát
Mgr. Renáta Krajčiová	12.12.1996	4 - ročný mandát
JUDr. Igor Králik	13.9.1995	n/a
JUDr. Andrea Kralovičová	11.2.1997	bez obmedzenia
JUDr. Ľubica Krišková	13.9.1995	n/a
JUDr. Andrej Kubinský	12.12.1996	bez obmedzenia
JUDr. Viera Kukučková	19.5.1998	bez obmedzenia
JUDr. Viera Kumová	26.3.1998	4 - ročný mandát
JUDr. Ľuboš Kunay	13.9.1995	n/a
JUDr. Jozef Kurian	10.5.1995	n/a
JUDr. Edita Kušnírová	12.12.1996	bez obmedzenia
JUDr. Helena Kuzmová	11.2.1997	bez obmedzenia
JUDr. Pavol Laczo	10.5.1995	n/a
JUDr. Viera Lamprechtová	19.5.1998	bez obmedzenia
JUDr. Soňa Langová	12.12.1996	bez obmedzenia
JUDr. Danka Lauková	12.12.1996	bez obmedzenia
JUDr. Darina Legerská	8.7.1998	bez obmedzenia
JUDr. Juraj Lehotský	20.3.1996	n/a
JUDr. Stanislav Libant	1.2.1996	n/a
JUDr. Silvia Lipovská	19.5.1998	bez obmedzenia
JUDr. Zuzana Lohnertová	12.12.1996	4 - ročný mandát
JUDr. Martin Lopuch, PhD.	1.2.1996	n/a
JUDr. Ladislav Lóška	19.5.1998	bez obmedzenia
JUDr. Andrej Lukáč	12.12.1996	bez obmedzenia
Mgr. Pavel Lukáč	20.3.1996	n/a
JUDr. Dana Macášková	9.5.2000	4 - ročný mandát
Mgr. Jozef Mačej	1.7.1996	n/a
JUDr. Erika Madarászová	8.7.1998	bez obmedzenia
JUDr. Zuzana Mališová	19.5.1998	bez obmedzenia
Mgr. Daniela Mamráková	26.3.1998	4 - ročný mandát
JUDr. Katarína Marčeková	12.12.1996	4 - ročný mandát
JUDr. Alžbeta Marková	12.12.1996	bez obmedzenia
JUDr. Jana Martinčeková	6.12.2000	bez obmedzenia
Mgr. Ivan Matel	26.3.1998	4 - ročný mandát
JUDr. Róbert Matulák	9.5.2000	4 - ročný mandát
JUDr. Ľubica Medvecká, PhD.	1.2.1996	n/a
Mgr. Denisa Mesárošová	6.12.2000	bez obmedzenia
JUDr. Denisa Mészárosová	21.1.2000	bez obmedzenia
JUDr. Marie Mészárosová	12.12.1996	bez obmedzenia
JUDr. Viktória Midová	8.7.1998	bez obmedzenia
JUDr. Soňa Mihaľáková	8.7.1998	bez obmedzenia
JUDr. Eva Miklošková	19.5.1998	bez obmedzenia
JUDr. Jozef Mikluš	13.9.1995	n/a
Mgr. Viera Milatová, PhD.	1.7.1996	n/a
Mgr. Slavomíra Mlynarčíková	12.12.1996	4 - ročný mandát
JUDr. Marta Molnárová	12.12.1996	bez obmedzenia
JUDr. Zlata Mrázová	19.5.1998	bez obmedzenia
JUDr. Mariana Muránska	13.9.1995	n/a
JUDr. Adriana Murínová	26.3.1998	4 - ročný mandát
Mgr. Jozef Nadzam	26.3.1998	4 - ročný mandát
JUDr. Mária Nagyová	12.12.1996	bez obmedzenia
JUDr. Ľubica Nemcová	12.12.1996	bez obmedzenia
JUDr. Ivana Nemčeková	8.7.1998	bez obmedzenia
Mgr. Erik Németh	20.3.1996	n/a
Mgr. Adriana Némethová	1.2.1996	n/a
JUDr. Tomáš Novák	13.9.1995	n/a
JUDr. Jana Novotná Mlinárcsiková	12.12.1996	bez obmedzenia
JUDr. Ľubica Novotná	15.6.2000	bez obmedzenia
JUDr. Vladimír Novotný	19.5.1998	bez obmedzenia
JUDr. Katarína Ondrejáková	12.12.1996	bez obmedzenia
JUDr. Elena Ondrišová	12.12.1996	bez obmedzenia
JUDr. Ľudmila Ostrolucká	12.12.1996	bez obmedzenia
Mgr. Michaela Pacherová, PhD.	20.3.1996	n/a
JUDr. Paulína Pacherová	6.12.2000	4 - ročný mandát
JUDr. Peter Paluda	19.5.1998	bez obmedzenia
JUDr. Renáta Pátrovičová	8.7.1998	bez obmedzenia
JUDr. Amália Paulerová	12.12.1996	bez obmedzenia
Mgr. Soňa Pekarčíková	14.3.2000	bez obmedzenia
JUDr. Mária Petrušková	1.7.1996	n/a
JUDr. Peter Philadelphy	20.3.1996	n/a
JUDr. Hedviga Pikalíková	26.3.1998	4 - ročný mandát
JUDr. Anna Pikulová	19.5.1998	bez obmedzenia
JUDr. Pavol Pilek	8.7.1998	bez obmedzenia
JUDr. Miriam Pintová	12.12.1996	bez obmedzenia
JUDr. Barbara Plaskurová	10.5.1995	n/a
JUDr. Rastislav Plutinský	12.12.1996	4 - ročný mandát
JUDr. Jarmila Pogranová	10.5.1995	n/a
Mgr. Viliam Pohančeník	8.7.1998	bez obmedzenia
JUDr. Anna Pohančeníková	1.2.1996	n/a
Mgr. Marián Polaček	12.12.1996	4 - ročný mandát
JUDr. Alena Poláčková, PhD.	19.5.1998	bez obmedzenia
JUDr. Veronika Poláčková	14.3.2000	bez obmedzenia
JUDr. Taťána Poláková	12.12.1996	bez obmedzenia
JUDr. Marta Polyaková	12.12.1996	bez obmedzenia
JUDr. Tatiana Porubänová	12.12.1996	bez obmedzenia
JUDr. Zuzana Posluchová	19.5.1998	bez obmedzenia
Mgr. Raul Pospíšil	8.7.1998	bez obmedzenia
JUDr. Janka Pravotiaková	12.12.1996	bez obmedzenia
JUDr. Lenka Praženková	20.3.1996	n/a
JUDr. Nora Puchelová	26.3.1998	4 - ročný mandát
JUDr. Darina Puklušová	12.12.1996	bez obmedzenia
JUDr. Peter Pulman	12.12.1996	bez obmedzenia
JUDr. Iveta Puškášová	10.5.1995	n/a
JUDr. Dr. Adriana Pytliaková	8.7.1998	bez obmedzenia
JUDr. Marta Raábová	8.7.1998	bez obmedzenia
JUDr. Miroslav Račko	12.12.1996	bez obmedzenia
JUDr. Zuzana Rigáňová	10.5.1995	n/a
JUDr. Ivan Rumana	1.2.1996	n/a
JUDr. Alica Ružbárska	19.5.1998	bez obmedzenia
JUDr. Ľuboš Sádovský	26.3.1998	4 - ročný mandát
JUDr. Viera Sandtnerová	11.2.1997	bez obmedzenia
JUDr. Beáta Schmidtová	10.5.1995	n/a
JUDr. Viera Sláviková	10.5.1995	n/a
JUDr. Gabriel Slobodník	1.2.1996	n/a
JUDr. Katarína Slováčeková	10.5.1995	n/a
JUDr. Marián Sninský	26.3.1998	4 - ročný mandát
JUDr. Gabriela Sobolovská	11.2.1997	bez obmedzenia
Mgr. Iveta Sonderlichová	1.7.1996	n/a
Mgr. Angelika Sopoligová	26.3.1998	4 - ročný mandát
JUDr. Ľubica Spálová	10.5.1995	n/a
JUDr. Jana Sroková	8.7.1998	bez obmedzenia
JUDr. Katarína Stanislavská	20.3.1996	n/a
JUDr. Jozef Stanko	12.12.1996	bez obmedzenia
JUDr. Peter Straka	12.12.1996	bez obmedzenia
JUDr. Martin Stretavský	19.5.1998	bez obmedzenia
JUDr. Vladimír Sučik	10.5.1995	n/a
Mgr. Eva Suchová	10.5.1995	n/a
JUDr. Edita Szabová	12.12.1996	bez obmedzenia
Mgr. Erika Szalaiová	11.2.1997	bez obmedzenia
JUDr. Blažena Szpyrcová	8.7.1998	bez obmedzenia
JUDr. Marta Šašinková	1.7.1996	n/a
JUDr. Vojtech Ševčík	12.12.1996	bez obmedzenia
JUDr. Jozef Škrab	12.12.1996	bez obmedzenia
JUDr. Viera Škultétyová	26.3.1998	4 - ročný mandát
JUDr. Ľudmila Škvaridlová	12.12.1996	4 - ročný mandát
JUDr. Ján Škvarka	12.12.1996	bez obmedzenia
JUDr. Miroslava Štannerová	12.12.1996	bez obmedzenia
Mgr. Zuzana Štolcová	19.5.1998	bez obmedzenia
JUDr. Ján Šulaj	1.2.1996	n/a
JUDr. Mário Šulej	12.12.1996	4 - ročný mandát
Mgr. Miroslava Šúleková	20.3.1996	n/a
JUDr. Zdenko Švárny	12.12.1996	bez obmedzenia
JUDr. Klaudia Talašová	1.7.1996	n/a
JUDr. Jana Tamášiová	8.7.1998	bez obmedzenia
JUDr. Štefan Ťažký	12.12.1996	bez obmedzenia
JUDr. Peter Tobiaš	19.5.1998	bez obmedzenia
JUDr. Pavol Toman	19.5.1998	bez obmedzenia
JUDr. Zdenka Tomašková	10.5.1995	n/a
Mgr. Andrea Tomašovičová	1.2.1996	n/a
JUDr. Štefan Tomašovský	8.7.1998	bez obmedzenia
Mgr. Pavol Tomík	8.7.1998	bez obmedzenia
Mgr. Nora Tomková	12.12.1996	4 - ročný mandát
JUDr. Roman Tóth	8.7.1998	bez obmedzenia
JUDr. Mária Tóthová	26.3.1998	4 - ročný mandát
JUDr. Milota Tóthová	12.12.1996	bez obmedzenia
JUDr. Marián Trenčan	1.7.1996	n/a
JUDr. Michal Truban	1.2.1996	n/a
JUDr. Jana Třešková	12.12.1996	bez obmedzenia
JUDr. Peter Tutko	13.9.1995	n/a
JUDr. Mária Tvrdíková	12.12.1996	bez obmedzenia
JUDr. Jarmila Urbancová	1.2.1996	n/a
JUDr. Jana Urbanová	13.9.1995	n/a
JUDr. Eva Valenčíková	11.2.1997	bez obmedzenia
JUDr. Igor Valent	8.7.1998	bez obmedzenia
Mgr. Ingrid Vallová	10.5.1995	n/a
JUDr. Milan Vaľuš	12.12.1996	bez obmedzenia
JUDr. Beata Vrťová	13.9.1995	n/a
Gabriela Vyskočová, PhD.	12.12.1996	bez obmedzenia
JUDr. Nadežda Weisová	8.7.1998	bez obmedzenia
Mária Zacková	20.3.1996	n/a
JUDr. Alena Záhumenská	1.2.1996	n/a
JUDr. Erika Zajacová	8.7.1998	bez obmedzenia
JUDr. Katarína Zajacová	19.5.1998	bez obmedzenia
JUDr. Elena Zaťková	11.2.1997	4 - ročný mandát
JUDr. František Zelený	12.12.1996	bez obmedzenia
JUDr. Jana Zemková, PhD.	8.7.1998	bez obmedzenia
JUDr. Viera Zoľáková	12.12.1996	bez obmedzenia
JUDr. Frederika Zozuľáková	26.3.1998	4 - ročný mandát
JUDr. Eva Železníková	13.9.1995	n/a
Mgr. Patrícia Železníková	12.12.1996	4 - ročný mandát
Mgr. Magdaléna Želinská	12.12.1996	bez obmedzenia
Mgr. Alica Žingorová	14.3.2000	bez obmedzenia
JUDr. Ľubica Adamčíková	21.1.2000	bez obmedzenia
Mgr. Stella Al Khufash	14.3.2000	bez obmedzenia
JUDr. Ivan Alman	15.6.2000	bez obmedzenia
Mgr. Zuzana Bajlová	17.10.2000	bez obmedzenia
JUDr. Ľuboš Baka	6.12.2000	bez obmedzenia
JUDr. Martin Bargel	21.1.2000	bez obmedzenia
JUDr. Peter Bebej	21.1.2000	bez obmedzenia
Mgr. Ján Bednár	21.1.2000	bez obmedzenia
JUDr. Eva Benčová	21.1.2000	bez obmedzenia
Mgr. Katarína Beniačová	17.10.2000	bez obmedzenia
JUDr. Daniel Béreš	17.10.2000	bez obmedzenia
JUDr. Oľga Bitalová	21.1.2000	bez obmedzenia
JUDr. Beata Bizoňová	21.1.2000	bez obmedzenia
JUDr. Marián Blaha	21.1.2000	bez obmedzenia
JUDr. Gabriela Brišková	14.3.2000	bez obmedzenia
JUDr. Ľubomír Bundzel	14.3.2000	bez obmedzenia
JUDr. Jana Coboriová	21.1.2000	bez obmedzenia
JUDr. Vladimír Červeňák	15.6.2000	bez obmedzenia
