name	date
Mgr. Marek Anovčin	4.2.2009
JUDr. Michal Antala	29.10.2004
Mgr. Katarína Arnouldová	1.7.2004
Mgr. Zuzana Bajlová	29.10.2004
JUDr. Radoslav Baláž	25.1.2010
JUDr. Martina Balegová	20.6.2005
JUDr. Martin Baločko	22.1.2008
JUDr. Miroslav Baňacký, PhD.	26.6.2007
JUDr. Marta Barková	22.1.2008
JUDr. Ivan Bartek	18.3.2005
JUDr. Lucia Bašistová	26.6.2007
JUDr. Erika Bebčáková	20.6.2005
JUDr. Richard Bejda	29.11.2005
JUDr. Monika Bellová	18.3.2005
Mgr. Katarína Beniačová	29.10.2004
JUDr. Daniel Béreš	29.10.2004
JUDr. Daniela Bergerová	18.3.2005
JUDr. Ján Bernát	29.10.2004
Mgr. Zuzana Bezáková	20.6.2005
JUDr. Zuzana Biščáková	24.9.2008
JUDr. Roman Bolebruch	20.6.2005
JUDr. Silvio Boleček, PhD.	25.6.2008
JUDr. Zoltán Boros	31.3.2006
Mgr. Boris Brondoš	25.6.2008
JUDr. Ladislav Bujňák	18.3.2005
JUDr. Boris Buľubaš	22.1.2008
JUDr. Gabriela Buľubašová	20.6.2005
JUDr. Agáta Burkušová	20.6.2005
JUDr. Ľubomír Bušík, PhD.	18.3.2005
JUDr. Jarmila Centková	31.3.2006
JUDr. Peter Csank	22.1.2008
Mgr. Božena Csibrányiová	1.7.2004
JUDr. Diana Cviková	22.1.2008
JUDr. Miron Čiževský	18.3.2005
JUDr. Ivana Dančová	20.6.2005
JUDr. Janka Danková	29.6.2010
JUDr. Rastislav Dlugoš	15.6.2006
Mgr. Erika Dodulíková	16.9.2004
JUDr. Otília Doláková	20.6.2005
JUDr. Marcela Dolníková Žabková	26.6.2007
Mgr. Daniela Drnáková	17.1.2007
JUDr. Ing. Mario Dubaň	15.6.2006
JUDr. Mgr. Monika Dubjel	25.1.2010
JUDr. Emil Dubňanský	26.6.2007
JUDr. Martina Dubovcová	12.2.2013
JUDr. Jana Dudíková	25.6.2008
Mgr. Dušan Ďurian	22.1.2008
JUDr. Eva Dzúriková	12.2.2013
JUDr. Eva Farkašová	20.6.2005
Mgr. Monika Farkašová	26.6.2007
Mgr. Dana Ferková	20.6.2005
JUDr. Michal Fiala	11.1.2005
JUDr. Anna Frigová	15.6.2006
JUDr. Michaela Frimmelová	4.9.2007
JUDr. Zuzana Gajerová	24.9.2008
JUDr. Tibor Gál	20.6.2005
JUDr. Slávka Garančovská	20.6.2005
Mgr. Renáta Gavalcová	1.7.2004
JUDr. Ing. Miroslav Gavalec	20.6.2005
Mgr. Mariana Gavalierová	20.6.2005
JUDr. Andrea Gazdagová	31.3.2006
JUDr. Iveta Gildeinová	20.6.2005
JUDr. Andrea Gindlová	17.3.2008
Mgr. Lívia Gombárová	12.2.2013
JUDr. Radovan Groman	4.2.2009
JUDr. Andrea Hadnagyová	24.9.2008
JUDr. Monika Halkociová	29.10.2004
JUDr. Lenka Halmešová	22.1.2008
Mgr. Ivana Hanuščaková	29.6.2010
JUDr. Roman Hargaš	29.11.2005
JUDr. Slavomír Harmóci	20.6.2005
Mgr. Zuzana Hartelová	17.1.2011
JUDr. Mariana Harvancová	18.3.2005
JUDr. Andrea Havírová	25.6.2008
Mgr. Ivana Heinrichová	20.6.2005
JUDr. Martin Holič	17.1.2007
JUDr. Marianna Hosťovecká	29.11.2005
JUDr. Ján Hrubala	2.5.2005
JUDr. Hana Hubináková	12.2.2013
JUDr. Mária Husárová	4.9.2007
JUDr. Milan Husák	29.6.2010
JUDr. Veronika Húšťová	29.11.2005
Mgr. Dušan Chamula	20.6.2005
JUDr. Lucia Chrapková, PhD.	4.9.2007
JUDr. Daniel Ilavský	29.11.2005
JUDr. Slavomír Ivanecký	17.6.2009
JUDr. Milena Jakubíková	22.1.2008
Mgr. Rastislav Jakubovič	20.6.2005
JUDr. Mária Jamrišková, PhD.	25.6.2008
Mgr. Alena Jančulová	25.1.2010
JUDr. Monika Jankovská	29.10.2004
JUDr. Milina Jánošková	20.6.2005
JUDr. Erik Kačmár	12.2.2013
JUDr. Ingrid Kalináková	17.1.2011
JUDr. Petr Kaňa	29.6.2010
JUDr. Antónia Kandravá	29.11.2005
Mgr. Mária Kašíková	4.9.2007
Mgr. Katarína Katková	17.6.2009
Mgr. Andrej Kekely	17.1.2007
JUDr. Ondrej Kekeňák, PhD.	26.6.2007
JUDr. Jana Keselicová	4.2.2009
JUDr. Marcel Kirnág	4.9.2007
JUDr. Branislav Klukoš	26.6.2007
JUDr. Marek Kohút	18.3.2005
JUDr. Martin Kolesár	22.1.2008
JUDr. Martin Kollár	20.6.2005
JUDr. Natália Kolláriková	17.6.2009
Mgr. Nina Kollárová	29.11.2005
Mgr. Peter Koman	24.9.2008
JUDr. Andrea Kondllová	24.9.2008
JUDr. Martin Kopina	29.6.2010
JUDr. Zuzana Korčeková	20.6.2005
JUDr. Monika Koščová	17.1.2007
