Meno	posledný súd	IND_1	IND_2	IND_3	IND_4	IND_5	IND_6	IND_7	IND_8
JUDr. Ján Gallo	Okresný súd Rožňava	10	10	10	10	9	9	10	9
JUDr. Arpád Koreň	Okresný súd Rožňava	10	10	9	9	9	10	9	10
JUDr. Mária Vrtochová	Okresný súd Bánovce n/B	10	8	8	10	9	4	10	8
JUDr. Daniel Miženko	Okresný súd Galanta	9	7	9	9	9	8	9	9
JUDr. Eva Macúchová	Okresný súd Nové Mesto n/V	9	7	8	9	8	7	10	9
JUDr. Alžbeta Marková	Okresný súd Rimavská Sobota	9	4	8	10	8	10	10	9
Mgr. Zoltán Dusza	Okresný súd Rimavská Sobota	10	4	9	10	9	10	8	10
JUDr. Eva Dzúriková	Okresný súd Zvolen	9	4	8	8	8	8	10	10
JUDr. Slavomír Harmóci	Okresný súd Michalovce	9	6	9	8	9	9	7	10
JUDr. Anna Miklová	Okresný súd Nové Zámky	9	6	9	8	9	7	8	8
JUDr. Alica Gálová	Okresný súd Brezno	10	4	8	10	9	7	8	9
JUDr. Andrej Mitterpák	Okresný súd Košice I	9	8	9	3	9	8	9	9
JUDr. Silvio Boleček, PhD.	Okresný súd Brezno	9	4	8	9	9	6	9	9
JUDr. Stanislav Sojka, PhD.	Okresný súd Michalovce	9	9	9	8	8	10	5	10
Mgr. Kristína Ferencziová	Okresný súd Galanta	9	4	9	8	8	8	8	10
JUDr. Peter Mén	Okresný súd Košice okolie	8	9	8	5	8	6	9	9
JUDr., PhD. Mária Jamrišková	Okresný súd Martin	9	9	8	10	8	7	6	7
JUDr. Tatiana Kovácsová	Okresný súd Lučenec	10	6	9	10	9	4	7	6
JUDr. Monika Liptáková	Okresný súd Žilina	9	6	8	7	8	9	8	9
JUDr. Iveta Mihóková	Okresný súd Prešov	9	5	8	8	9	6	9	7
JUDr. Magdaléna Klimková	Okresný súd Humenné	9	5	8	9	8	8	8	7
Mgr. Adriana Dobiášová	Okresný súd Nitra	8	7	8	7	7	6	9	8
JUDr. Ján Lapšanský	Okresný súd Spišská Nová Ves	9	5	9	6	8	6	9	8
JUDr. Stanislav Galovič	Okresný súd Lučenec	10	5	9	10	9	4	7	6
JUDr. Michal Uhorskai	Okresný súd Revúca	9	6	9	7	9	8	7	8
JUDr. Milan Petričko	Okresný súd Trebišov	9	5	9	3	9	9	9	9
Mgr. Juraj Lukáč	Okresný súd Liptovský Mikuláš	10	1	6	10	5	9	10	10
Mgr. Ivana Šlesarová	Okresný súd Považská Bystrica	8	7	5	8	7	5	10	10
JUDr. Radoslav Rusnák	Okresný súd Spišská Nová Ves	9	5	9	5	9	8	8	9
JUDr. Sylvia Szabadošová	Okresný súd Prešov	8	5	8	8	6	6	9	8
Mgr. Katarína Šimková	Okresný súd Trenčín	7	7	7	7	6	7	9	10
JUDr. Marcela Malatká	Okresný súd Žilina	8	6	8	4	8	9	9	9
JUDr. Marek Šenkár	Okresný súd Žilina	7	7	8	1	8	9	10	10
JUDr. Mariana Ginelliová	Okresný súd Košice okolie	8	8	8	6	8	8	7	8
JUDr. Mária Ondrejová	Okresný súd Nitra	9	7	8	5	8	9	7	9
Mgr. Zuzana Bezáková	Okresný súd Nitra	9	5	9	8	8	6	6	10
JUDr. Zoltán Boros	Okresný súd Rimavská Sobota	10	5	8	9	9	4	7	6
JUDr. Eva Tóthová	Okresný súd Trenčín	8	8	8	5	9	5	8	7
JUDr. Vladimír Kotus	Okresný súd Košice II	9	5	7	10	8	9	6	8
JUDr. Alena Ondrejová	Okresný súd Rimavská Sobota	9	5	9	5	9	5	8	7
Mgr. Helena Silavecká	Okresný súd Skalica	8	6	8	6	8	8	7	10
JUDr. Renáta Šulajová	Okresný súd Lučenec	8	6	8	4	8	6	9	8
JUDr. Soňa Vacková	Okresný súd Nitra	9	7	6	9	8	6	7	7
Mgr. Marta Hrenčuková	Okresný súd Rožňava	9	5	9	8	8	8	5	10
JUDr. Lenka Saloková	Okresný súd Košice okolie	8	7	8	5	8	9	7	8
Mgr. Viera Petrová	Okresný súd Trebišov	8	5	7	6	7	9	8	10
Mgr. Anna Križanová	Okresný súd Nové Zámky	9	7	9	7	9	7	5	7
JUDr. Milan Gylánik	Okresný súd Čadca	9	7	9	6	9	8	5	8
JUDr. Adriana Považanová	Okresný súd Zvolen	9	5	8	8	9	5	7	6
Mgr. Eva Jombíková	Okresný súd Zvolen	8	4	8	9	6	7	7	9
Mgr. Katarína Janotová	Okresný súd Martin	8	6	7	7	7	8	7	10
JUDr. Viera Koscelanská	Okresný súd Nitra	7	10	5	4	7	7	9	9
JUDr. Vladimír Topoľančík	Okresný súd Ružomberok	8	6	8	7	8	6	7	7
JUDr. Ivan Šimek	Okresný súd Skalica	9	5	7	9	6	7	7	7
JUDr Peter Pulman	Okresný súd Banská Bystrica	10	5	9	10	9	0	7	0
JUDr. Ladislav Lóška	Okresný súd Lučenec	10	5	9	10	9	4	5	4
JUDr. Bohuslav Padrta	Mestský súd Bratislava II 	9	6	9	8	9	6	5	6
JUDr. Elena Lámerová	Okresný súd Brezno	9	6	8	8	8	3	7	5
JUDr. Milan Straka	Okresný súd Trenčín	8	9	8	5	8	7	6	7
JUDr. Andrej Chuda	Okresný súd Michalovce	9	6	9	5	9	9	5	9
JUDr. Antónia Salayová	Okresný súd Dunajská Streda	7	6	8	6	7	6	8	7
Mgr. Ľudovít Majerčík	Okresný súd Komárno	9	6	7	7	9	7	6	9
JUDr. Ivan Štepita	Okresný súd Ružomberok	9	5	8	6	9	6	7	7
JUDr. Helena Gajdošová	Okresný súd Trnava	9	6	8	5	9	3	8	6
JUDr. Andrea Gazdagová	Okresný súd Košice okolie	6	6	7	5	6	9	9	8
JUDr. Iveta Wildeová	Okresný súd Prešov	7	4	6	7	5	7	10	8
Mgr. Ingrid Steinsdorferová	Okresný súd Banská Bystrica	9	5	8	9	7	3	7	5
JUDr. Marián Manduch	Okresný súd Trenčín	8	8	9	5	9	2	7	5
Mgr. Miriam Kamenská	Okresný súd Banská Bystrica	8	5	7	7	6	8	7	10
JUDr. Ján Slovinský	Okresný súd Spišská Nová Ves	9	5	9	7	9	7	5	7
JUDr. Ivan Alman	Mestský súd Bratislava IV	8	7	9	4	9	4	7	6
JUDr. Eva Kiššová	Okresný súd Prievidza	6	8	8	4	7	9	7	8
JUDr. Erika Jóbová	Okresný súd Komárno	8	6	8	4	9	7	7	8
JUDr. Katarína Gašparová	Mestský súd Bratislava II 	8	7	8	7	8	2	7	5
Mgr. Iveta Bebejová	Okresný súd Dolný Kubín	9	5	8	8	9	2	7	4
JUDr. Eva Miklošková	Mestský súd Bratislava V	6	10	6	3	7	5	9	7
JUDr. Peter Bebej	Okresný súd Dolný Kubín	8	6	7	6	8	0	9	6
JUDr. Marián Sopoliga	Okresný súd Trebišov	9	5	9	4	9	5	7	6
JUDr. Gabriela Donnerová	Mestský súd Bratislava II 	7	5	7	6	6	5	9	7
