Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f	S16g	S16h
JUDr. Adriana Považanová	0	0	2011 - 2013	Okresný súd Partizánske	Okresný súd Partizánske	Okresný súd Zvolen, Okresný súd Partizánske	2011 - Okresný súd Partizánske; 2012 - Okresný súd Partizánske; 2013 - Okresný súd Zvolen, Okresný súd Partizánske	bola prideľovaná najmä Trestná agenda	0	0	48	613	rozhodoval najmä v Trestnej agende	0	0	48	613	652	99	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 64,4 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	59	38	Odvolanie proti rozhodnutiam sudcu je podávané v približne 8,9 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,2 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 125 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 58 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 16 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 23,2 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 100 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 29 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 46. - 51. mieste. Za kvalitu získal 9,75 z 15 možných bodov, za efektivitu 19,25 z 25.	2011 - Nápad nebol znížený; 2013 - Výkon funkcie predsedu súdu od preloženia na OS Zvolen od 07.10.2013. 	"2011 - 28.-29-3.2011, 20.09.2011 Trestnoprávne kolégium  ; 2012 - 18.10. - 19.10.2012 - Medzinárodné právo rodinné
25.10.2012 - Najnovšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov - trestný úsek 2. časť
12.12. - 13.12.2012 - Princípy vnútroštátnej aplikácie práva EÚ; 2013 - 21. 01. - 22. 01. 2013 Kontradiktórnosť hlavného pojednávania, Omšenie, 07. 02. - 08. 02. 2013 Európsky zatýkací rozkaz, Omšenie, 27. 02. - 28. 02. 2013 Väzba, zaistenie osôb a majetku v trestnom konaní, Omšenie, 20. 05. 2013 Úhrnný, súhrnný, ďalší a spoločný trest, Omšenie; 21. 10. - 22. 10. 2013 Pracovné stretnutie TPK banskobystrického kraja, Omšenie; ; 21.01.2013-22.01.2013 (2 dni) - Kontradiktórnosť hlavného pojednávania
07.02.2013-08.02.2013 (2 dni) - Európsky zatýkací rozkaz (novela Zákona č. 344/2012 Z.z.)
27.02.2013-28.02.2013 (2 dni) - Väzba, zaistenie osôb a majetku v trestnom konaní
20.05.-21.05.2013 (2 dni) - Úhrnný, súhrnný, ďalší a spoločný trest


"	2011 - Nápad nebol znížený	2011 - 28.-29-3.2011, 20.09.2011 Trestnoprávne kolégium  		"2012 - 18.10. - 19.10.2012 - Medzinárodné právo rodinné
25.10.2012 - Najnovšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov - trestný úsek 2. časť
12.12. - 13.12.2012 - Princípy vnútroštátnej aplikácie práva EÚ"	2013 - Výkon funkcie predsedu súdu od preloženia na OS Zvolen od 07.10.2013. 	"2013 - 21. 01. - 22. 01. 2013 Kontradiktórnosť hlavného pojednávania, Omšenie, 07. 02. - 08. 02. 2013 Európsky zatýkací rozkaz, Omšenie, 27. 02. - 28. 02. 2013 Väzba, zaistenie osôb a majetku v trestnom konaní, Omšenie, 20. 05. 2013 Úhrnný, súhrnný, ďalší a spoločný trest, Omšenie; 21. 10. - 22. 10. 2013 Pracovné stretnutie TPK banskobystrického kraja, Omšenie; ; 21.01.2013-22.01.2013 (2 dni) - Kontradiktórnosť hlavného pojednávania
07.02.2013-08.02.2013 (2 dni) - Európsky zatýkací rozkaz (novela Zákona č. 344/2012 Z.z.)
27.02.2013-28.02.2013 (2 dni) - Väzba, zaistenie osôb a majetku v trestnom konaní
20.05.-21.05.2013 (2 dni) - Úhrnný, súhrnný, ďalší a spoločný trest


"
JUDr. Alena Blašková	1	0	2011 - 2013	Okresný súd Topoľčany	Okresný súd Topoľčany	Okresný súd Topoľčany, Okresný súd Partizánske	2011 - Okresný súd Topoľčany; 2012 - Okresný súd Topoľčany; 2013 - Okresný súd Topoľčany, Okresný súd Partizánske	bola prideľovaná najmä Občiansko-právna agenda	457	476	69	0	nerozhodoval v žiadnej agende väčšinovo	457	476	69	0	654	212	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 54,1 % prípadoch, pričom priemer v SR v rovnakej agende je 61,2 %.	109	59	Odvolanie proti rozhodnutiam sudcu je podávané v približne 10,9 % prípadoch. Priemer v SR je v rovnakej agende 8,6 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 5 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 455 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 492 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 217 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 37 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 57,2 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 12,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 679. - 681. mieste. Za kvalitu získal 5,5 z 15 možných bodov, za efektivitu 7 z 25.	2013 - Vykonáva funkciu podpredsedu súdu	"2011 - 2.3.-3.3.2011 seminár ""Vyhľadávanie a výklad práva EÚ vnútroštátnym sudcom - metodologocké minimum. 27.3.-30.3.2011 konferencia - zahraničnej štúdijnej cesty v Štrasburgu-Luxemburgu. 5.5.2011 seminár pod názvom ""Právny styk s cudzinou v kontexte a komunitárne nariadenia o doručovaní súdnych a mimosúdnych písomností v členských štátoch EÚ. 27.6.2011 seminár ""Prehľad aktuálnej judikatúry v oblasti obchodného práva. Celkovo 10 dní. ; 2012 - 21.-23.11.2012 - určenie medzinárodne príslušného súdu podľa nariadenia Bruselu a určenie rozhodného práva pre zmluvné a mimozmluvné záväzky podľa nariadenia Rím I. a Rím II. ; 2013 - 30.10.2013 (1 deň) - Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/09 o vyživovacej povinnosti"		"2011 - 2.3.-3.3.2011 seminár ""Vyhľadávanie a výklad práva EÚ vnútroštátnym sudcom - metodologocké minimum. 27.3.-30.3.2011 konferencia - zahraničnej štúdijnej cesty v Štrasburgu-Luxemburgu. 5.5.2011 seminár pod názvom ""Právny styk s cudzinou v kontexte a komunitárne nariadenia o doručovaní súdnych a mimosúdnych písomností v členských štátoch EÚ. 27.6.2011 seminár ""Prehľad aktuálnej judikatúry v oblasti obchodného práva. Celkovo 10 dní. "		2012 - 21.-23.11.2012 - určenie medzinárodne príslušného súdu podľa nariadenia Bruselu a určenie rozhodného práva pre zmluvné a mimozmluvné záväzky podľa nariadenia Rím I. a Rím II. 	2013 - Vykonáva funkciu podpredsedu súdu	2013 - 30.10.2013 (1 deň) - Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/09 o vyživovacej povinnosti
JUDr. Andrea Gindlová	0	0	2011 - 2013	Okresný súd Bánovce nad Bebravou	Okresný súd Žiar nad Hronom , Okresný súd Bánovce nad Bebravou	Okresný súd Žiar nad Hronom 	2011 - Okresný súd Bánovce nad Bebravou; 2012 - Okresný súd Žiar nad Hronom , Okresný súd Bánovce nad Bebravou; 2013 - Okresný súd Žiar nad Hronom 	nebola žiadna agenda prideľovaná dominantne	319	108	81	163	nerozhodoval v žiadnej agende väčšinovo	319	108	81	163	651	107	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 74,6 % prípadoch, pričom priemer v SR v rovnakej agende je 61,2 %.	71	53	Odvolanie proti rozhodnutiam sudcu je podávané v približne 10,6 % prípadoch. Priemer v SR je v rovnakej agende 8,6 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,7 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 226 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 120 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 18 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 13,8 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 74,3 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 26,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 110. - 118. mieste. Za kvalitu získal 9,5 z 15 možných bodov, za efektivitu 17 z 25.		"2011 - Školenia: 
11.10.2011 - 12.10.2011 - školenie sudcov z obvodu KS v Trenčíne z občianskoprávneho a obchodného úseku
Grémia a kolégia: 11.01.2011, 13:09.2011 ; 2012 - Seminár ""Ukladanie a výkon trestov a ochranných opatrení. Súhrnný trest, úhrnný trest a spoločný trest"" - 2 dni (24. 09. 2012, 25. 09. 2012).; 2013 - Seminár ""Väzba, zaistenie osôb a majetkuv trestnom konaní"" - 2 dni (27. 2. 2013 - 28. 2. 2013).  Seminár ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"" - 1 deň (9. 10. 2013).  Seminár ""Princípy vnútroštátnej aplikácie práva EÚ"" - 2 dni (11. 12. 2013 - 12. 12. 2013)."		"2011 - Školenia: 
11.10.2011 - 12.10.2011 - školenie sudcov z obvodu KS v Trenčíne z občianskoprávneho a obchodného úseku
Grémia a kolégia: 11.01.2011, 13:09.2011 "		"2012 - Seminár ""Ukladanie a výkon trestov a ochranných opatrení. Súhrnný trest, úhrnný trest a spoločný trest"" - 2 dni (24. 09. 2012, 25. 09. 2012)."		"2013 - Seminár ""Väzba, zaistenie osôb a majetkuv trestnom konaní"" - 2 dni (27. 2. 2013 - 28. 2. 2013).  Seminár ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"" - 1 deň (9. 10. 2013).  Seminár ""Princípy vnútroštátnej aplikácie práva EÚ"" - 2 dni (11. 12. 2013 - 12. 12. 2013)."
JUDr. Andrej Matušovic	0	0	2011 - 2013	Okresný súd Levice	Okresný súd Levice	Okresný súd Žiar nad Hronom , Okresný súd Levice	2011 - Okresný súd Levice; 2012 - Okresný súd Levice; 2013 - Okresný súd Žiar nad Hronom , Okresný súd Levice	bola prideľovaná najmä Trestná agenda	0	0	0	838	rozhodoval najmä v Trestnej agende	0	0	0	838	627	138	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 50 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	12	6	Odvolanie proti rozhodnutiam sudcu je podávané v približne 1,4 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 0,7 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 221 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 154 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 49 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 31,6 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 76 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 25,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 143. - 153. mieste. Za kvalitu získal 10 z 15 možných bodov, za efektivitu 15,5 z 25.	"2011 - nemá znížený nápad ; 2012 - Nebol dôvod na zníženie nápadu.; 2013 - Dodatkom č.10/2013 s účinnosťou od 22.10.2013 bol sudcovi zastavený nápad, ktorý sa mu prideľoval v súlade s RP na rok 2013 v znení v jeho Dodatkov.
JUDr. Matušovic bol preložený na OS Žiar nad Hronom od 01.11.2013."	2011 - 2 dni; 2012 - Sudca sa zúčastnil na vzdelávacích aktivitách 2x; 2013 - Sudca sa nezúčastnil žiadneho vzdelávacieho seminára.; Ku dňu preloženia sudcu na OS Žiar nad Hronom účasť nevykazujeme.	2011 - nemá znížený nápad 	2011 - 2 dni	2012 - Nebol dôvod na zníženie nápadu.	2012 - Sudca sa zúčastnil na vzdelávacích aktivitách 2x	"2013 - Dodatkom č.10/2013 s účinnosťou od 22.10.2013 bol sudcovi zastavený nápad, ktorý sa mu prideľoval v súlade s RP na rok 2013 v znení v jeho Dodatkov.
JUDr. Matušovic bol preložený na OS Žiar nad Hronom od 01.11.2013."	2013 - Sudca sa nezúčastnil žiadneho vzdelávacieho seminára.; Ku dňu preloženia sudcu na OS Žiar nad Hronom účasť nevykazujeme.
JUDr. Eliška Wagshalová	1	0	2012 - 2013		Okresný súd Bardejov	Okresný súd Bardejov, Okresný súd Prešov	2012 - Okresný súd Bardejov; 2013 - Okresný súd Bardejov, Okresný súd Prešov	bola prideľovaná najmä Občiansko-právna agenda	534	3	107	3	rozhodoval najmä v Občiansko-právnej agende	534	3	107	3	401	292	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 77,3 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	22	17	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3,4 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 0,8 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 763 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 600 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 194 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 30,6 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 50 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 17 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 574. - 577. mieste. Za kvalitu získal 12,5 z 15 možných bodov, za efektivitu 4,5 z 25.		2012 - 22.11.-23.11.2012 - Pracovné stretnutie sudcov Štrbské pleso-PATRIA; 2013 - 0; 2				2012 - 22.11.-23.11.2012 - Pracovné stretnutie sudcov Štrbské pleso-PATRIA		2013 - 0; 2
JUDr. Erika Némethová Stiffelová	0	0	2012 - 2013		Okresný súd Bratislava IV	Okresný súd Bratislava V, Okresný súd Bratislava IV	2012 - Okresný súd Bratislava IV; 2013 - Okresný súd Bratislava V, Okresný súd Bratislava IV	bola prideľovaná najmä Občiansko-právna agenda	274	0	0	77	rozhodoval najmä v Občiansko-právnej agende	274	0	0	77	261	318	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 53,3 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	15	8	Odvolanie proti rozhodnutiam sudcu je podávané v približne 4,3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 594 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 496 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 145 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 27,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 58,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 14,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 645. - 646. mieste. Za kvalitu získal 7 z 15 možných bodov, za efektivitu 7,5 z 25.								
JUDr. Eva Fulcová	0	0	2011 - 2013	Okresný súd Bratislava III	Okresný súd Bratislava III	Okresný súd Bratislava I, Okresný súd Bratislava III	2011 - Okresný súd Bratislava III; 2012 - Okresný súd Bratislava III; 2013 - Okresný súd Bratislava I, Okresný súd Bratislava III	bola prideľovaná najmä Obchodná agenda	0	119	0	0	rozhodoval najmä v Obchodnej agende	0	119	0	0	586	18	Evidujeme menej ako 10 odvolaní o rozhodnutiach sudcu, preto dáta považujeme za nereprezentatívne.	5	3	N/A	N/A	Odhadovaná priemerná dĺžka konania sporu je 582 dní. Priemer v SR bol na konci roka 346 dní.	Informácie o nevybavených prípadoch považujeme za málo reprezentatívne a preto ich neprezentujeme.	Dáta o reštančných prípadoch považujeme za málo reprezentatívne a preto ich neprezentujeme.	Dáta o výkonnosti sudcu považujeme za málo reprezentatívne a preto ich neprezentujeme.	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - znížený nápad - §50 ods. 3 Zák. 757/2004 Z.z.; 2012 - znížený nápad - §50 ods. 3 Zák. 757/2004 Z.z.; 2013 - Od 25.9.2013 dočasne pridelená na výkon funkcie predsedníčky OS BA I.	"2011 - Exekučné právo - 2 dní
Slobodný prístup k informáciam - 2 dni
Prehľad aktuálnej judikatúry v oblasti civ. práva - 1 deň
; 2012 - 13.3-14.3.2012 - Profesionálna etika sudcu, 
6.3.2012 - Efektívne využitie počítača
18.-19.3.2012 - Aplikácia práva EÚ"	2011 - znížený nápad - §50 ods. 3 Zák. 757/2004 Z.z.	"2011 - Exekučné právo - 2 dní
Slobodný prístup k informáciam - 2 dni
Prehľad aktuálnej judikatúry v oblasti civ. práva - 1 deň
"	2012 - znížený nápad - §50 ods. 3 Zák. 757/2004 Z.z.	"2012 - 13.3-14.3.2012 - Profesionálna etika sudcu, 
6.3.2012 - Efektívne využitie počítača
18.-19.3.2012 - Aplikácia práva EÚ"	2013 - Od 25.9.2013 dočasne pridelená na výkon funkcie predsedníčky OS BA I.	
JUDr. Eva Mészárosová	0	0	2011 - 2013	Okresný súd Bratislava I, Okresný súd Bratislava V	Okresný súd Bratislava V	Okresný súd Bratislava V	2011 - Okresný súd Bratislava I, Okresný súd Bratislava V; 2012 - Okresný súd Bratislava V; 2013 - Okresný súd Bratislava V	bola prideľovaná najmä Občiansko-právna agenda	913	0	0	0	rozhodoval najmä v Občiansko-právnej agende	913	0	0	0	669	196	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 55,6 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	27	15	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,3 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 482 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 448 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 141 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 28,8 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 69,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 17,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 545. - 555. mieste. Za kvalitu získal 8,5 z 15 možných bodov, za efektivitu 9 z 25.		"2011 - seminár - 2; 2013 - 
Seminár - 4 dni."		2011 - seminár - 2				"2013 - 
Seminár - 4 dni."
JUDr. Jana Jarošová	0	0	2011	Okresný súd Trenčín, Okresný súd Piešťany			2011 - Okresný súd Trenčín, Okresný súd Piešťany	bola prideľovaná najmä Občiansko-právna agenda	5	0	275	0	rozhodoval najmä v agende Starostlivosti o maloletých	5	0	275	0	185	433	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 80 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	25	20	Odvolanie proti rozhodnutiam sudcu je podávané v približne 8,9 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,8 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.		2011 - 11.-12. októbra 2011 - školenie sudcov z obvodu Krajského súdu v Trenčíne		2011 - 11.-12. októbra 2011 - školenie sudcov z obvodu Krajského súdu v Trenčíne				
JUDr. Ladislav Bujňák	0	0	2011 - 2013	Okresný súd Košice I	Okresný súd Košice I	Okresný súd Trebišov, Okresný súd Košice I	2011 - Okresný súd Košice I; 2012 - Okresný súd Košice I; 2013 - Okresný súd Trebišov, Okresný súd Košice I	bola prideľovaná najmä Trestná agenda	0	0	0	664	rozhodoval najmä v Trestnej agende	0	0	0	664	786	81	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 46,9 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	32	15	Odvolanie proti rozhodnutiam sudcu je podávané v približne 4,8 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,6 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 151 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 122 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 71 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 50,4 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 104,2 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 24 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 203. - 218. mieste. Za kvalitu získal 7,75 z 15 možných bodov, za efektivitu 16,25 z 25.	2012 - Opatrením predsedu súdu zo dňa 31.7.2012 (1SprR/32/2012) bol v období od 1.8. do 10.8.2012 pozastavený nápad v tomto súdnom oddelení z dôvodu zabezpečenia rovnomernosti zaťaženosti sudcov.	"2013 - 12.11.2013- Efektívne využitie počítača, internetu  a právnickych vyhľadačov - 2.časť
28.10.2013 - Väzba, zaistenie osôb a majetku v  trestnom konaní; 21.-22.1.2013  Kontradiktórnosť hlavného pojednávania."			2012 - Opatrením predsedu súdu zo dňa 31.7.2012 (1SprR/32/2012) bol v období od 1.8. do 10.8.2012 pozastavený nápad v tomto súdnom oddelení z dôvodu zabezpečenia rovnomernosti zaťaženosti sudcov.			"2013 - 12.11.2013- Efektívne využitie počítača, internetu  a právnickych vyhľadačov - 2.časť
28.10.2013 - Väzba, zaistenie osôb a majetku v  trestnom konaní; 21.-22.1.2013  Kontradiktórnosť hlavného pojednávania."
