Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f
JUDr. Adriána Považanová	0	0	roky 2011 - 2013	Okresný súd Partizánske	Okresný súd Partizánske	Okresný súd Zvolen, Okresný súd Partizánske	2011 - Okresný súd Partizánske; 2012 - Okresný súd Partizánske; 2013 - Okresný súd Zvolen, Okresný súd Partizánske	bola prideľovaná najmä Trestná agenda.	0	0	53	570	rozhodoval najmä v Trestnej agende.	0	0	48	613	652	9,892638037	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 64,4 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	59	38	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 8,9 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 3,2 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,34. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 58 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 16 reštančných vecí, pričom priemer v SR je 126. To tvorí 23,2 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 100 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 29 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 47. mieste. Za kvalitu rozhodovania získal 9,75 bodov z 15 a za efektivitu 19,25 z možných 25.	Okresný súd Partizánske - Nápad nebol znížený	N/A	N/A	N/A	Okresný súd Zvolen - Výkon funkcie predsedu súdu od preloženia na OS Zvolen od 07.10.2013. 	N/A
JUDr. Alena Blašková	1	0	roky 2011 - 2013	Okresný súd Topoľčany	Okresný súd Topoľčany	Okresný súd Topoľčany, Okresný súd Partizánske	2011 - Okresný súd Topoľčany; 2012 - Okresný súd Topoľčany; 2013 - Okresný súd Topoľčany, Okresný súd Partizánske	bola prideľovaná najmä Občianskoprávna agenda.	631	466	71	0	nerozhodoval v žiadnej agende väčšinovo.	457	476	69	0	654	21,19266055	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 54,1 % prípadoch, pričom priemer v SR v rovnakej agende je 61,1 %.	109	59	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 10,9 % prípadoch, pričom priemer v SR je 8,6 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 5 %, pričom priemer v SR je 3,4 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,25. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 492 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 217 reštančných vecí, pričom priemer v SR je 126. To tvorí 37 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 57,2 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 12,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 679. mieste. Za kvalitu rozhodovania získal 5,5 bodov z 15 a za efektivitu 7 z možných 25.	N/A	N/A	N/A	N/A	N/A	Okresný súd Partizánske - Vykonáva funkciu podpredsedu súdu
JUDr. Andrea Gindlová	0	0	roky 2011 - 2013	Okresný súd Bánovce n/B	Okresný súd Žiar n/H, Okresný súd Bánovce n/B	Okresný súd Žiar n/H	2011 - Okresný súd Bánovce n/B; 2012 - Okresný súd Žiar n/H, Okresný súd Bánovce n/B; 2013 - Okresný súd Žiar n/H	nebola žiadna agenda prideľovaná dominantne.	325	94	90	166	nerozhodoval v žiadnej agende väčšinovo.	319	108	81	163	651	10,67588326	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 74,6 % prípadoch, pričom priemer v SR v rovnakej agende je 61,1 %.	71	53	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 10,6 % prípadoch, pričom priemer v SR je 8,6 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2,7 %, pričom priemer v SR je 3,4 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,62. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 120 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 18 reštančných vecí, pričom priemer v SR je 126. To tvorí 13,8 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 74,3 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 26,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 111. mieste. Za kvalitu rozhodovania získal 9,5 bodov z 15 a za efektivitu 17 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Andrej Matušovic	0	0	roky 2011 - 2013	Okresný súd Levice	Okresný súd Levice	Okresný súd Žiar n/H, Okresný súd Levice	2011 - Okresný súd Levice; 2012 - Okresný súd Levice; 2013 - Okresný súd Žiar n/H, Okresný súd Levice	bola prideľovaná najmä Trestná agenda.	0	0	0	790	rozhodoval najmä v Trestnej agende.	0	0	0	838	627	13,79585327	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 50 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	12	6	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 1,4 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 0,7 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,61. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 154 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 49 reštančných vecí, pričom priemer v SR je 126. To tvorí 31,6 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 76 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 25,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 142. mieste. Za kvalitu rozhodovania získal 10 bodov z 15 a za efektivitu 15,5 z možných 25.	Okresný súd Levice - nemá znížený nápad 	N/A	Okresný súd Levice - Nebol dôvod na zníženie nápadu.	N/A	N/A	"Okresný súd Levice - Dodatkom č.10/2013 s účinnosťou od 22.10.2013 bol sudcovi zastavený nápad, ktorý sa mu prideľoval v súlade s RP na rok 2013 v znení v jeho Dodatkov.
JUDr. Matušovic bol preložený na OS Žiar nad Hronom od 01.11.2013."
JUDr. Eliška Wagshalová	1	0	roky 2012 - 2013	N/A	Okresný súd Bardejov	Okresný súd Bardejov, Okresný súd Prešov	2012 - Okresný súd Bardejov; 2013 - Okresný súd Bardejov, Okresný súd Prešov	bola prideľovaná najmä Občianskoprávna agenda.	620	48	153	3	rozhodoval najmä v Občianskoprávnej agende.	534	3	107	3	401	29,22693267	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 77,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	22	17	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 3,4 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 0,8 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 2,09. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 600 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 194 reštančných vecí, pričom priemer v SR je 126. To tvorí 30,6 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 50 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 17 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 572. mieste. Za kvalitu rozhodovania získal 12,5 bodov z 15 a za efektivitu 4,5 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Erika Némethová Stiffelová	0	0	roky 2012 - 2013	N/A	Okresný súd Bratislava IV	Okresný súd Bratislava V, Okresný súd Bratislava IV	2012 - Okresný súd Bratislava IV; 2013 - Okresný súd Bratislava V, Okresný súd Bratislava IV	bola prideľovaná najmä Občianskoprávna agenda.	532	0	0	107	rozhodoval najmä v Občianskoprávnej agende.	274	0	0	77	261	31,83908046	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 53,3 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	15	8	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 4,3 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,63. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 496 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 145 reštančných vecí, pričom priemer v SR je 126. To tvorí 27,5 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 58,5 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 14,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 645. mieste. Za kvalitu rozhodovania získal 7 bodov z 15 a za efektivitu 7,5 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Eva Fulcová	0	0	roky 2011 - 2013	Okresný súd Bratislava III	Okresný súd Bratislava III	Okresný súd Bratislava I, Okresný súd Bratislava III	2011 - Okresný súd Bratislava III; 2012 - Okresný súd Bratislava III; 2013 - Okresný súd Bratislava I, Okresný súd Bratislava III	bola prideľovaná najmä Obchodná agenda.	0	104	0	0	rozhodoval najmä v Obchodnej agende.	0	119	0	0	586	1,774744027	Evidujeme menej ako 10 rozhodnutí o odvolaniach voči rozhodnutiam sudcu.	5	3	N/A	N/A	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	Okresný súd Bratislava III - znížený nápad - §50 ods. 3 Zák. 757/2004 Z.z.	N/A	Okresný súd Bratislava III - znížený nápad - §50 ods. 3 Zák. 757/2004 Z.z.	N/A	Okresný súd Bratislava I - Od 25.9.2013 dočasne pridelená na výkon funkcie predsedníčky OS BA I.	N/A
JUDr. Eva Mészárosová	0	0	roky 2011 - 2013	Okresný súd Bratislava I, Okresný súd Bratislava V	Okresný súd Bratislava V	Okresný súd Bratislava V	2011 - Okresný súd Bratislava I, Okresný súd Bratislava V; 2012 - Okresný súd Bratislava V; 2013 - Okresný súd Bratislava V	bola prideľovaná najmä Občianskoprávna agenda.	1309	0	0	0	rozhodoval najmä v Občianskoprávnej agende.	913	0	0	0	669	19,56651719	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 55,6 % prípadoch, pričom priemer v SR v rovnakej agende je 63 %.	27	15	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 3 % prípadoch, pričom priemer v SR je 8,8 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,3 %, pričom priemer v SR je 3,3 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 1,32. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 448 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 141 reštančných vecí, pričom priemer v SR je 126. To tvorí 28,8 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 69,5 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 17,5 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 546. mieste. Za kvalitu rozhodovania získal 8,5 bodov z 15 a za efektivitu 9 z možných 25.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Jana Jarošová	0	0	rok 2011	Okresný súd Trenčín, Okresný súd Piešťany	N/A	N/A	2011 - Okresný súd Trenčín, Okresný súd Piešťany	bola prideľovaná najmä Občianskoprávna agenda.	76	0	327	0	rozhodoval najmä vo veciach Starostlivosti o maloletých.	5	0	275	0	185	43,2972973	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 80 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	25	20	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 8,9 % prípadoch, pričom priemer v SR je 7,2 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 1,8 %, pričom priemer v SR je 2,5 %.	Pre hodnotenie efektivity disponujeme málo reprezentatívnymi dátami, a preto sudcu nehodnotíme.	N/A	N/A	N/A	Pre bodové hodnotenie sudcu nedisponujeme dostatočne reprezentatývnymi údajmi.	N/A	N/A	N/A	N/A	N/A	N/A
JUDr. Ladislav Bujňák	0	0	roky 2011 - 2013	Okresný súd Košice I	Okresný súd Košice I	Okresný súd Trebišov, Okresný súd Košice I	2011 - Okresný súd Košice I; 2012 - Okresný súd Košice I; 2013 - Okresný súd Trebišov, Okresný súd Košice I	bola prideľovaná najmä Trestná agenda.	0	0	0	575	rozhodoval najmä v Trestnej agende.	0	0	0	664	786	8,1043257	Rozhodnutie sudcu bolo v prípade odvolaní potvrené v 46,9 % prípadoch, pričom priemer v SR v rovnakej agende je 52,2 %.	32	15	Odvolanie voči rozhodnutiam sudcu bolo podávané približne v 4,8 % prípadoch, pričom priemer v SR je 8,5 %.	Z celkového počtu rozhodnutí bolo zmenených alebo zrušených 2,6 %, pričom priemer v SR je 4,1 %.	Podiel medzi nevybavenými vecami na konci roka 2013 a rozhodnutými vecami bol 0,41. Čím je číslo nižšie, tým je sudca schopnejší vybavovať prichádzajúce prípady. Priemer v SR bol 0,9.	Sudca mal na konci roka 2013 122 nevybavených vecí, pričom priemer v SR je 238.	Sudca mal na konci roka 2013 71 reštančných vecí, pričom priemer v SR je 126. To tvorí 50,4 % z nevybavených vecí. Priemer v SR v tomto ukazovateli je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 104,2 % prípadov. Priemer v SR bol 99,6 %.	Celkovo získal sudca podľa našej metodológie 24 bodov zo 45 možných. Medzi 739 hodnotenými sudcami okresných súdov sa umiestnil na 206. mieste. Za kvalitu rozhodovania získal 7,75 bodov z 15 a za efektivitu 16,25 z možných 25.	N/A	N/A	Okresný súd Košice I - Opatrením predsedu súdu zo dňa 31.7.2012 (1SprR/32/2012) bol v období od 1.8. do 10.8.2012 pozastavený nápad v tomto súdnom oddelení z dôvodu zabezpečenia rovnomernosti zaťaženosti sudcov.	N/A	N/A	N/A
